control,r_samehh
'100564720141','2'
'100566340146','1'
'100572720149','1'
'100574940146','1'
'100575110145','2'
'100575170140','2'
'100575330140','1'
'100576360140','1'
'100580110140','1'
'100590120140','1'
'100590380140','1'
'100596190146','2'
'100596350146','1'
'100596500146','1'
'100597360146','1'
'100600370149','1'
'100600770140','1'
'100600770249','1'
'100602350144','1'
'100602500144','1'
'100604140140','1'
'100611710144','2'
'100611970144','1'
'100618140145','1'
'100618550145','2'
'100619770144','2'
'100622700146','2'
'100629310145','1'
'100629960141','1'
'100631370145','2'
'100633120146','1'
'100633380146','2'
'100635300140','2'
'100635550140','1'
'100638570145','1'
'100641100140','1'
'100645150144','1'
'100650140147','1'
'100650300147','2'
'100650330145','1'
'100650380146','1'
'100650530146','1'
'100650550147','2'
'100650580145','1'
'100651130145','1'
'100651390145','2'
'100652390147','2'
'100653160144','2'
'100653320144','1'
'100653370146','1'
'100653730145','2'
'100654370146','1'
'100654760142','1'
'100655120245','2'
'100656720145','1'
'100657740145','2'
'100661720141','1'
'100662340141','1'
'100664730146','2'
'100664990146','2'
'100667110145','1'
'100667370145','2'
'100669720149','1'
'100670760144','2'
'100671180142','1'
'100679140145','1'
'100681170142','1'
'100681330142','1'
'100682930144','1'
'100683140147','2'
'100683300147','2'
'100685170141','1'
'100685330141','2'
'100686160147','1'
'100686320147','1'
'100686570147','1'
'100687730149','1'
'100693360148','1'
'100693510148','2'
'100697180144','2'
'100697340144','1'
'100697590144','1'
'100705110347','2'
'100714710146','1'
'100716150147','2'
'100716560147','1'
'100717920148','2'
'100721310142','1'
'100724360143','1'
'100726190142','1'
'100730170149','1'
'100733780144','2'
'100740720146','1'
'100743390145','1'
'100743780144','1'
'100743940144','1'
'100750300144','2'
'100751780145','1'
'100753320144','2'
'100755910143','2'
'100757590146','2'
'100763320143','1'
'100767150149','1'
'100767310149','1'
'100767560149','2'
'100772900142','2'
'100776790141','1'
'100777170143','2'
'100777580143','1'
'100778150142','1'
'100778340140','1'
'100782190143','1'
'100783510146','1'
'100788110146','2'
'100788370146','2'
'100789790148','2'
'100790790147','2'
'100791120146','1'
'100791380146','1'
'100792930147','2'
'100793330149','2'
'100795170144','1'
'100795330144','1'
'100795580144','1'
'100796360149','1'
'100796760140','1'
'100796760249','2'
'100799150149','2'
'100800170149','2'
'100804310140','2'
'100804350142','1'
'100805120146','2'
'100805530146','1'
'100807140144','1'
'100809190142','2'
'100809350142','2'
'100809730146','2'
'100810140243','2'
'100813300145','2'
'100814140143','1'
'100816360141','1'
'100816510141','1'
'100824360140','2'
'100828790146','1'
'100834100141','1'
'100834360141','1'
'100837130140','2'
'100838380148','1'
'100839370146','1'
'100845140147','1'
'100846750144','2'
'100848360149','1'
'100849380143','1'
'100849530143','1'
'100850560143','1'
'100851370244','2'
'100853110149','2'
'100853170142','1'
'100853370149','1'
'100853580142','1'
'100853770140','1'
'100853930140','1'
'100854320145','1'
'100855780143','1'
'100855940143','1'
'100859360143','1'
'100860130142','2'
'100868160140','1'
'100871140143','2'
'100871160148','2'
'100871300143','1'
'100871550143','1'
'100871570148','2'
'100873130145','1'
'100873390145','1'
'100874180141','1'
'100874190142','1'
'100878110143','1'
'100878370143','1'
'100879360146','1'
'100881190149','1'
'100882120143','1'
'100882340145','1'
'100882530143','1'
'100883140141','2'
'100883150145','1'
'100883700241','2'
'100889150148','1'
'100889310148','1'
'100890120141','2'
'100894770141','2'
'100895340144','1'
'100897580243','2'
'100898740148','2'
'100898780141','1'
'100898900148','2'
'100898940141','1'
'100903320142','2'
'100903570142','2'
'100903720242','2'
'100907390246','2'
'100909360146','2'
'100909780147','2'
'100910150142','1'
'100910750143','1'
'100914350142','1'
'100914500142','2'
'100922310144','1'
'100925300142','1'
'100927740146','2'
'100929990143','1'
'100932920142','1'
'100933170143','1'
'100933330143','1'
'100939300145','2'
'100941110143','1'
'100941520143','1'
'100942100147','1'
'100944150146','2'
'100944560146','1'
'100946390142','1'
'100948330145','1'
'100951100147','2'
'100951510147','1'
'100951770146','2'
'100951770443','1'
'100953170147','1'
'100953580147','2'
'100955120148','1'
'100963130140','1'
'100969760141','1'
'100970130140','2'
'100970390140','2'
