control,r_samehh
'286220380144','1'
'286220530144','1'
'286226790149','2'
'286229710142','2'
'286229970142','2'
'286243760146','1'
'286243920146','1'
'286246750148','1'
'286246910148','1'
'286258150144','1'
'286258310144','1'
'286261740141','1'
'286261900141','1'
'286269130149','2'
'286269390149','1'
'286269790140','2'
'286269950140','1'
'286273140144','1'
'286273300144','2'
'286276250247','1'
'286281700145','1'
'286281960145','1'
'286282100147','2'
'286282360147','1'
'286294790143','1'
'286294950143','1'
'286295990146','2'
'286302910146','1'
'286303730142','1'
'286303990142','2'
'286319750146','1'
'286319910146','2'
'286321140149','2'
'286321300149','2'
'286321550149','1'
'286321700140','1'
'286321960140','1'
'286349750142','2'
'286356720145','1'
'286356980145','1'
'286357180144','2'
'286357340144','2'
'286357590144','1'
'286379410144','2'
'286379740144','2'
'286379900144','1'
'286384720149','2'
'286391120142','1'
'286391380142','1'
'286391530142','1'
'286401150141','1'
'286401310141','2'
'286401560141','1'
'286408280149','2'
'286408430140','1'
'286408690149','1'
'286410120149','1'
'286410380149','1'
'286410530149','2'
'286410940140','2'
'286416720141','1'
'286421290144','1'
'286421440244','1'
'286421600144','1'
'286423740142','1'
'286423900142','1'
'286425570140','1'
'286433110145','1'
'286433370145','1'
'286433520145','1'
'286434780145','2'
'286434940145','2'
'286443670145','2'
'286452260149','1'
'286452340149','1'
'286452590149','1'
'286452740140','2'
'286452900140','1'
'286468280149','1'
'286468430140','1'
'286468690149','1'
'286468840140','1'
'286473720145','1'
'286473980145','1'
'286482120140','1'
'286482380140','1'
'286482530140','2'
'286489760143','1'
'286493790147','1'
'286494080143','2'
'286500560148','1'
'286502990143','1'
'286504530149','1'
'286504780140','1'
'286504940140','2'
'286512490149','1'
'286512800149','1'
'286515730145','1'
'286515990145','1'
'286530740145','1'
'286530900145','1'
'286532170141','1'
'286532330141','1'
'286532580141','2'
'286532650148','1'
'286542940142','2'
'286548700145','2'
'286550710145','1'
'286550970145','1'
'286553790146','2'
'286553950146','2'
'286589130141','1'
'286589190145','1'
'286589390141','1'
'286589500145','1'
'286589540141','1'
'286591290145','1'
'286593150142','1'
'286593310142','1'
'286594010148','1'
'286597320144','1'
'286597570144','1'
'286600770146','1'
'286600930146','1'
'286603570144','1'
'286638390144','1'
'286638620144','2'
'286638870244','2'
'286649040144','2'
'286653720141','1'
'286653980141','2'
'286662520142','1'
'286671180148','2'
'286671340148','2'
'286671590148','2'
'286674180144','1'
'286674340144','2'
'286681250148','2'
'286681660148','1'
'286694100142','1'
'286694360142','1'
'286694510142','2'
'286698180141','1'
'286698340141','2'
'286698590141','2'
'286710180140','2'
'286710340140','1'
'286710590140','2'
'286721150148','1'
'286721560148','1'
'286730300144','2'
'286730550144','1'
'286749180140','2'
'286749340140','1'
'286749590140','1'
'286755910149','1'
'286763160149','1'
'286763320149','1'
'286763570149','1'
'286763720140','2'
'286763980140','1'
'286775100145','1'
'286775360145','2'
'286778150148','2'
'286778310148','1'
'286788770143','1'
'286788930143','1'
'286791780143','2'
'286791940143','1'
'286795100145','1'
'286795360145','1'
'286795510145','2'
'286796760146','1'
'286796920146','1'
'286806390142','2'
'286806540142','1'
'286809090147','2'
'286809190148','1'
'286809350148','1'
'286809500148','2'
'286812130145','1'
'286812540145','1'
'286822080147','1'
'286839770143','1'
'286839930143','1'
'286845170145','1'
'286845330145','1'
'286845580145','1'
'286846350145','2'
'286846500145','1'
'286848140141','1'
'286848550141','2'
'286850150149','1'
'286850310149','1'
'286850560149','2'
'286850970140','2'
'286853930146','1'
'286854980142','1'
'286860010144','2'
'286873790142','1'
'286873950142','2'
'286878850140','1'
'286879850145','2'
'286888510143','1'
'286889970145','1'
'286890120147','2'
'286890380147','2'
'286890530147','2'
'286895740141','1'
'286895900141','2'
'286903160148','1'
'286903320148','1'
'286903570148','1'
'286910750149','1'
'286914350148','1'
'286914500148','1'
'286922040143','2'
'286925160144','2'
'286925320144','1'
'286926150144','1'
'286926170142','1'
'286926310144','1'
'286926330142','1'
'286926580142','2'
'286932760148','2'
'286932920148','1'
'286939700142','1'
'286939960142','1'
'286941110149','1'
'286941370149','2'
'286941520149','1'
'286941770140','1'
'286941930140','1'
'286944710143','2'
'286944970143','1'
'286946130148','2'
'286946390148','1'
'286946540148','1'
'286951760144','1'
'286951920144','1'
'286954710149','1'
'286954970149','1'
'286961730146','1'
'286962790145','1'
'286962950145','2'
'286963130146','1'
'286963390146','1'
'286963540146','1'
'286987010142','1'
'286997390144','2'
'286997540144','2'
'287002460147','1'
'287005190141','1'
'287005350141','1'
'287011060145','1'
'287027790149','1'
'287027950149','1'
'287029950143','2'
'287032980141','1'
'287033740146','1'
'287033900146','1'
'287037120146','1'
'287044530142','1'
'287045700145','1'
'287045960145','1'
'287052430143','2'
'287052840143','2'
'287053280140','1'
'287053690140','1'
'287067450147','1'
'287067860147','2'
'287081960147','1'
'287086140147','1'
'287086550147','2'
'287092810148','1'
'287103760146','2'
'287103920146','1'
'287107330149','2'
'287107580149','2'
'287107730140','1'
'287107990140','1'
'287118960140','2'
'287121100145','2'
'287121110144','1'
'287121360145','2'
'287121370144','1'
'287121510145','1'
'287121520144','1'
'287125050145','1'
'287129730146','2'
'287136390144','1'
'287136540144','1'
'287138750143','2'
'287141740142','1'
'287141900142','1'
'287144780143','1'
'287144940143','1'
'287150840142','1'
'287155110142','1'
'287155370142','1'
'287155520142','1'
'287167730149','1'
'287167990149','1'
'287168150149','1'
'287168310149','2'
'287168560149','2'
'287168710140','1'
'287168970140','1'
'287169760146','1'
'287169920146','2'
'287173250146','1'
'287196720147','2'
'287196770143','1'
'287196930143','1'
'287196980147','1'
'287202830146','2'
'287204990146','1'
'287206150146','1'
'287206560146','1'
'287218320143','1'
'287218570143','1'
'287220140141','2'
'287220300141','1'
'287220550141','1'
'287223700141','1'
'287223960141','2'
'287226710146','2'
'287226970146','1'
'287229330148','2'
'287229580148','2'
'287240900149','2'
'287243780143','1'
'287243940143','2'
'287243960147','1'
'287245850147','1'
'287246930145','1'
'287251000145','2'
'287253600146','1'
'287257770149','1'
'287258170141','1'
'287258330141','1'
'287258580141','1'
'287261360147','1'
'287261510147','1'
'287267710147','2'
'287267970147','1'
'287269150146','1'
'287269560146','2'
'287273160141','1'
'287273160143','2'
'287273320141','2'
'287273570141','1'
'287273570143','1'
'287276020144','2'
'287281720142','1'
'287281980144','1'
'287282120144','1'
'287282530144','1'
'287284390143','1'
'287284540143','1'
'287294150149','1'
'287294310149','2'
'287294710140','1'
'287294970140','1'
'287295750143','1'
'287295910143','1'
'287297510149','2'
'287297760140','1'
'287297920140','2'
'287302930143','1'
'287303190148','1'
'287303350148','2'
'287303500148','1'
'287303950143','1'
'287306770143','2'
'287306930143','1'
'287309740148','1'
'287309900148','1'
'287319770143','1'
'287319930143','1'
'287321190142','1'
'287321320146','1'
'287321350142','2'
'287321500142','1'
'287321570146','1'
'287333220144','1'
'287333630144','1'
'287346450147','1'
'287346780147','2'
'287349110148','1'
'287349370148','1'
'287349520148','2'
'287356740142','1'
'287357100141','1'
'287357360141','1'
'287357510141','2'
'287358790147','1'
'287365220143','2'
'287365630143','1'
'287365760141','2'
'287365920141','1'
'287374470145','1'
'287374880145','1'
'287376790145','1'
'287376950145','2'
'287379430141','2'
'287382530145','1'
'287384900146','1'
'287389080140','1'
'287396500241','2'
'287404550146','1'
'287407740147','1'
'287407900147','2'
'287408200146','1'
'287408530146','2'
'287410140146','2'
'287410300146','2'
'287410550146','2'
'287416180147','1'
'287416340147','1'
'287421620141','2'
'287423360148','1'
'287423510148','1'
'287430400147','1'
'287430810147','2'
'287433130142','1'
'287433540142','1'
'287434700142','2'
'287434960142','1'
'287442910145','2'
'287443280142','1'
'287452100146','1'
'287452510146','1'
'287452840246','1'
'287458570242','2'
'287468200146','1'
'287468610146','1'
'287472920145','1'
'287473740142','1'
'287473900142','1'
'287474940146','1'
'287489380149','1'
'287489530149','1'
'287489780140','2'
'287489940140','1'
'287493710144','1'
'287493970144','1'
'287494000140','1'
'287497700147','1'
'287500330145','2'
'287500580145','2'
'287502190149','1'
'287502350149','1'
'287502500149','1'
'287502750140','1'
'287502910140','1'
'287504140146','2'
'287504300146','2'
'287504550146','1'
'287508930141','1'
'287510900142','2'
'287512820146','2'
'287515750142','1'
'287515910142','1'
'287521130146','1'
'287521390146','1'
'287521540146','1'
'287530760142','1'
'287532670145','2'
'287542140148','2'
'287542550148','1'
'287546770143','2'
'287546930143','1'
'287548720142','1'
'287548980142','1'
'287550730142','2'
'287550990142','1'
'287553970143','1'
'287558480142','2'
'287558890142','2'
'287560900142','1'
'287574700149','1'
'287574960149','1'
'287584980149','2'
'287589110142','1'
'287589370142','1'
'287589520142','1'
'287591390142','2'
'287594690245','1'
'287597180141','2'
'287597340141','1'
'287600790143','1'
'287600950143','1'
'287603340141','1'
'287603590141','2'
'287611990147','1'
'287619790147','1'
'287622980149','1'
'287629720144','2'
'287631130148','2'
'287631540148','2'
'287638640141','1'
'287650190148','1'
'287650500148','1'
'287653180147','1'
'287653590147','2'
'287656740148','2'
'287656900148','1'
'287657760148','1'
'287657920148','1'
'287664750149','1'
'287664910149','1'
'287670940147','1'
'287671100145','1'
'287671360145','2'
'287673070142','1'
'287674100141','1'
'287674360141','1'
'287674510141','1'
'287681270145','1'
'287714960147','1'
'287716730141','2'
'287716990141','2'
'287721170145','1'
'287721330145','1'
'287721580145','1'
'287730160141','2'
'287730320141','1'
'287730570141','1'
'287730760148','2'
'287730920148','1'
'287751960148','1'
'287755930146','1'
'287763180146','1'
'287763590146','1'
'287772760145','1'
'287772920145','1'
'287773950144','2'
'287775120142','2'
'287775530142','1'
'287778170145','1'
'287778330145','1'
'287778580145','1'
'287788130149','1'
'287788540149','1'
'287788790140','1'
'287788950140','1'
'287791300149','1'
'287791550149','1'
'287791700140','2'
'287791960140','1'
'287795120142','1'
'287795530142','1'
'287796780143','1'
'287796940143','2'
'287809010144','1'
'287809370145','1'
'287809520145','2'
'287809910149','2'
'287812150142','1'
'287812310142','1'
'287812560142','1'
'287827730149','2'
'287827990149','2'
'287828710149','2'
'287828970149','1'
'287839390149','1'
'287839540149','1'
'287839790140','1'
'287839950140','1'
'287845190142','1'
'287845350142','2'
'287845500142','1'
'287845750242','2'
'287846110142','2'
'287846370142','1'
'287848770242','1'
'287850170146','1'
'287850330146','2'
'287850580146','1'
'287853950143','1'
'287854180148','2'
'287854340148','1'
'287860030141','1'
'287873310148','2'
'287873560148','1'
'287878620146','2'
'287879460142','2'
'287879870142','1'
'287880710147','2'
'287880970147','1'
'287888530140','1'
'287889730142','1'
'287890140144','2'
'287890300144','1'
'287890550144','1'
'287895360147','1'
'287895510147','1'
'287898470144','1'
'287898880144','2'
'287903180145','1'
'287903340145','1'
'287903590145','1'
'287903740245','1'
'287910770146','1'
'287910930146','1'
'287913130142','1'
'287913390142','1'
'287914110145','1'
'287914370145','2'
'287914520145','2'
'287922060140','1'
'287925340141','2'
'287926170141','2'
'287926330141','2'
'287927760149','2'
'287932780145','2'
'287932940145','2'
'287939160148','1'
'287939320148','1'
'287939570148','2'
'287941390146','1'
'287941540146','1'
'287944170149','1'
'287944330149','2'
'287944580149','1'
'287944730140','1'
'287944990140','1'
'287946150145','1'
'287946310145','1'
'287946560145','1'
'287950960146','2'
'287951780141','2'
'287951940141','2'
'287952720147','1'
'287952980147','2'
'287954730146','1'
'287954990146','2'
'287958880144','1'
'287961910143','2'
'287962710142','2'
'287962970142','1'
'287963150143','2'
'287963310143','2'
'287963560143','2'
'287966070143','1'
'287978520142','1'
'287978770242','2'
'287997150141','1'
'287997310141','1'
'288002480144','1'
'288002890144','1'
'288007580148','1'
'288011080142','2'
'288013130140','1'
'288013390140','1'
'288013540249','1'
'288015310344','2'
'288015710147','2'
'288015970147','1'
'288019910141','1'
'288021720144','1'
'288021980144','1'
'288022700147','1'
'288022960147','2'
'288027970146','1'
'288028370140','1'
'288028520140','2'
'288028520249','2'
'288029790147','1'
'288029790148','1'
'288029950148','1'
'288031700145','1'
'288031960145','1'
'288032180147','1'
'288032590147','1'
'288033760143','1'
'288033920143','2'
'288037300143','2'
'288037550143','1'
'288040300149','1'
'288040700140','1'
'288040960140','1'
'288042750143','2'
'288042910143','1'
'288043790145','1'
'288043950145','2'
'288045720142','1'
'288045980142','1'
'288049780140','2'
'288049940140','1'
'288052200149','1'
'288052610149','1'
'288052860140','2'
'288053050146','2'
'288056090149','1'
'288056650140','1'
'288057740141','2'
'288057900141','2'
'288059770141','2'
'288059930141','1'
'288067470144','1'
'288067880144','1'
'288072140240','1'
'288074510143','2'
'288081720144','1'
'288081980144','1'
'288086160144','2'
'288086320144','2'
'288086570144','2'
'288091370347','2'
'288092780144','1'
'288092830145','1'
'288092940144','2'
'288097090145','2'
'288102190144','1'
'288102350144','2'
'288102680144','1'
'288102710145','2'
'288103730144','1'
'288103780143','1'
'288103940143','1'
'288103990144','1'
'288107190146','2'
'288107500146','1'
'288107560148','2'
'288112940147','1'
'288115740148','1'
'288115900148','1'
'288116740144','2'
'288118160146','1'
'288118320146','2'
'288118570146','1'
'288119540149','2'
'288119790140','2'
'288121120142','1'
'288121390141','2'
'288121530142','1'
'288125070142','2'
'288127700140','1'
'288127960140','1'
'288129910143','1'
'288130710144','1'
'288134980248','1'
'288135780141','1'
'288135940141','1'
'288136150141','2'
'288136310141','2'
'288136560141','1'
'288138110149','2'
'288138370149','2'
'288138770140','1'
'288138930140','1'
'288141100148','2'
'288141510148','2'
'288141960147','1'
'288142920149','2'
'288143520149','2'
'288143750148','2'
'288143930140','1'
'288144140149','1'
'288144300149','1'
'288144550149','1'
'288144700140','1'
'288144750148','2'
'288144910148','1'
'288144960140','2'
'288150200148','1'
'288153970147','2'
'288158560146','1'
'288162330147','1'
'288162580147','1'
'288162960145','1'
'288167750146','1'
'288167910146','1'
'288168170146','1'
'288168330146','1'
'288168580146','1'
'288168580147','1'
'288169780143','1'
'288169940143','2'
'288173270143','1'
'288173680143','1'
'288174700147','1'
'288174960147','1'
'288177910141','2'
'288181550149','2'
'288181700140','2'
'288181960140','1'
'288185860144','1'
'288188100142','2'
'288188360142','1'
'288188510142','2'
'288190990141','1'
'288196130149','1'
'288196390149','1'
'288196540149','1'
'288196740144','1'
'288196900144','2'
'288196950140','1'
'288200310245','1'
'288202360147','1'
'288202440143','1'
'288202510147','1'
'288202850143','1'
'288202920247','1'
'288204750143','1'
'288204910143','2'
'288206170143','1'
'288206330143','2'
'288207770147','1'
'288207930147','2'
'288216160143','1'
'288216570143','1'
'288218180140','2'
'288218590140','2'
'288219530248','1'
'288220980347','2'
'288220980644','2'
'288223320147','1'
'288223570147','2'
'288226430141','2'
'288226730143','1'
'288226840141','2'
'288226990143','1'
'288229190145','1'
'288231900142','1'
'288236700147','1'
'288236960147','1'
'288238740149','1'
'288238740342','2'
'288238900149','1'
'288239880149','1'
'288239960149','2'
'288239980144','1'
'288239980148','1'
'288240760146','1'
'288240920146','2'
'288242580242','2'
'288243140149','1'
'288243310142','2'
'288243550149','1'
'288243560142','1'
'288243700140','2'
'288243720144','1'
'288243960140','2'
'288245460144','1'
'288245870144','2'
'288246370343','2'
'288246790142','1'
'288246930146','1'
'288246950142','1'
'288247780140','2'
'288247940140','2'
'288250910147','1'
'288251020142','2'
'288253210143','2'
'288253620143','2'
'288257790146','1'
'288257950146','2'
'288260570142','1'
'288260980242','2'
'288260980648','2'
'288261120144','2'
'288261120441','1'
'288261380144','1'
'288261740149','1'
'288261900149','1'
'288265770145','1'
'288267990144','2'
'288268740243','2'
'288268740540','2'
'288268740649','2'
'288268960245','2'
'288269170143','1'
'288269330143','1'
'288269580143','1'
'288273180140','2'
'288273180249','2'
'288273340140','1'
'288273340247','1'
'288273590140','1'
'288276040141','1'
'288276760148','1'
'288279520141','1'
'288281180148','2'
'288281340148','1'
'288281590148','2'
'288281740141','1'
'288281900141','1'
'288282140141','1'
'288282300141','1'
'288282550141','2'
'288284310140','1'
'288287560148','2'
'288289350147','1'
'288289500147','1'
'288291930149','1'
'288293720149','1'
'288294170146','1'
'288294330146','2'
'288294580146','1'
'288295370149','2'
'288295520149','1'
'288295770140','1'
'288295930140','1'
'288297120146','1'
'288297380146','1'
'288300190145','1'
'288300500145','1'
'288302130149','1'
'288302390149','1'
'288302540149','2'
'288302790140','1'
'288302950140','1'
'288303110145','2'
'288303150149','2'
'288303310149','1'
'288303370145','1'
'288303520145','1'
'288303560149','2'
'288303710140','2'
'288306130149','1'
'288306390149','1'
'288306540149','1'
'288306790140','1'
'288306950140','2'
'288309760145','1'
'288313280140','1'
'288313430240','1'
'288315580143','1'
'288316760149','1'
'288316920149','2'
'288319130149','1'
'288319390149','2'
'288319540149','1'
'288319790140','1'
'288321180143','1'
'288321340143','1'
'288328120141','1'
'288328380141','1'
'288328530141','1'
'288329770142','1'
'288329930142','1'
'288333240141','1'
'288333650141','2'
'288335710147','1'
'288335970147','1'
'288336450149','2'
'288336780149','1'
'288336860149','2'
'288338750142','1'
'288338910142','1'
'288339730141','2'
'288339990141','2'
'288343950145','1'
'288346470144','1'
'288346880144','1'
'288348990144','2'
'288349130145','1'
'288349540145','1'
'288356100148','1'
'288356360148','1'
'288356510148','1'
'288358710144','1'
'288358970144','1'
'288359730149','1'
'288365090149','2'
'288365120147','2'
'288365380147','2'
'288365530147','1'
'288365650140','1'
'288369730243','2'
'288369990243','2'
'288372180140','1'
'288372590140','2'
'288374490142','1'
'288374800142','1'
'288375730147','1'
'288375730148','1'
'288375990148','1'
'288376710142','1'
'288376970142','2'
'288379200147','2'
'288379380147','1'
'288379610147','2'
'288380160149','2'
'288380320149','1'
'288380720140','1'
'288380980140','1'
'288382300142','1'
'288382550142','2'
'288384760143','2'
'288384920143','2'
'288387490147','1'
'288404320143','1'
'288404570143','1'
'288407760144','1'
'288408220143','1'
'288410320143','1'
'288410570143','2'
'288416100144','1'
'288416360144','2'
'288416510144','1'
'288418730148','2'
'288418990148','2'
'288421750145','1'
'288421910145','1'
'288423120145','1'
'288423380145','1'
'288433560144','1'
'288434320148','1'
'288434570148','1'
'288434980248','2'
'288434980545','2'
'288438560143','2'
'288439590144','1'
'288439900145','1'
'288440120149','2'
'288440380149','1'
'288440530149','2'
'288440780140','1'
'288440940140','1'
'288442930142','2'
'288443050148','1'
'288447490147','2'
'288447720149','2'
'288447800147','1'
'288447900148','1'
'288447980446','2'
'288449740148','1'
'288449900148','1'
'288451890140','1'
'288452380143','1'
'288452530143','1'
'288458180348','2'
'288460720149','2'
'288468630143','1'
'288471370248','2'
'288472780142','1'
'288473100148','1'
'288473360148','1'
'288473900146','1'
'288474700143','1'
'288474960143','2'
'288477710147','2'
'288477970147','1'
'288481950147','2'
'288483930143','1'
'288485590147','1'
'288489140146','1'
'288490910143','1'
'288492350148','2'
'288492500148','1'
'288493730141','2'
'288493990141','2'
'288494190346','2'
'288494190643','2'
'288494770147','1'
'288494830149','1'
'288497710149','1'
'288497720144','2'
'288497980144','1'
'288499750149','1'
'288500350142','1'
'288500500142','1'
'288502370146','1'
'288502520146','2'
'288503760146','2'
'288504160143','1'
'288504320143','1'
'288504570143','1'
'288506720148','1'
'288506740143','1'
'288508130147','1'
'288508390146','2'
'288508390147','2'
'288508540146','2'
'288508540147','1'
'288509910140','1'
'288510100148','1'
'288510360148','1'
'288510510148','1'
'288512430143','1'
'288512840143','2'
'288515110148','1'
'288515370148','1'
'288515520148','1'
'288519340348','1'
'288521150143','2'
'288521310143','1'
'288521560143','1'
'288522720141','2'
'288522980141','2'
'288524770141','2'
'288524930141','1'
'288527950141','1'
'288528700141','1'
'288528960141','1'
'288529740148','1'
'288529900148','1'
'288530120148','2'
'288530380148','1'
'288530530148','1'
'288532280142','1'
'288532840242','2'
'288534330140','1'
'288536750147','2'
'288536910147','1'
'288542160145','1'
'288542320145','1'
'288542570145','1'
'288543520146','2'
'288546390149','1'
'288546540149','1'
'288546720147','1'
'288546790140','2'
'288546950140','2'
'288546980147','2'
'288548180148','1'
'288548590148','1'
'288550190148','1'
'288550350148','2'
'288550500148','2'
'288553170149','2'
'288553580149','2'
'288553730140','2'
'288553990140','1'
'288558330148','1'
'288558580148','1'
'288560100148','1'
'288560360148','1'
'288560510148','1'
'288563780144','1'
'288563940144','1'
'288572760149','1'
'288572920149','1'
'288574980146','1'
'288575370140','1'
'288575520140','2'
'288575560145','1'
'288575770240','2'
'288577390143','1'
'288577540143','1'
'288583910149','1'
'288584740146','2'
'288585370244','2'
'288590320140','1'
'288590570140','2'
'288590570249','2'
'288597550146','2'
'288600150149','1'
'288600310149','1'
'288600560149','2'
'288600970140','1'
'288606750142','1'
'288606760140','2'
'288606910142','1'
'288606920140','1'
'288611750144','1'
'288616140140','1'
'288618590145','2'
'288619710143','2'
'288619970144','2'
'288622740146','2'
'288622900146','1'
'288627990142','1'
'288629340447','2'
'288629740141','1'
'288629900141','2'
'288631150145','2'
'288631310145','2'
'288631560145','1'
'288638000147','1'
'288638100145','1'
'288638360145','2'
'288638510145','1'
'288641560242','1'
'288642950146','1'
'288650110145','1'
'288650370145','2'
'288650520145','1'
'288653360144','2'
'288653510144','1'
'288654310146','1'
'288654560146','1'
'288654700142','1'
'288654960142','1'
'288656760145','1'
'288656920145','1'
'288656970147','1'
'288657780145','2'
'288657940145','1'
'288661520240','1'
'288661520349','1'
'288661920141','1'
'288662150245','1'
'288662150542','2'
'288662380141','2'
'288662530141','1'
'288664770146','2'
'288664930146','1'
'288666710149','1'
'288666970149','2'
'288669760149','1'
'288669920149','1'
'288670700144','1'
'288670960144','1'
'288671120142','1'
'288671530142','1'
'288673990143','1'
'288681600142','1'
'288683590147','1'
'288684740142','1'
'288684900142','1'
'288685110141','1'
'288685370141','1'
'288685520141','1'
'288685930241','1'
'288686510147','1'
'288687770149','2'
'288688910146','1'
'288698530244','2'
'288710120243','1'
'288710120540','1'
'288712790142','1'
'288712950142','1'
'288713740146','2'
'288713900146','1'
'288714720144','2'
'288714910146','1'
'288714980144','1'
'288716190147','2'
'288716350147','2'
'288716500147','1'
'288717700148','1'
'288717960148','1'
'288718790148','1'
'288718950148','1'
'288719960141','1'
'288721190142','2'
'288721350142','1'
'288730120342','1'
'288730780145','2'
'288730940145','1'
'288733720144','1'
'288733980144','2'
'288741960144','1'
'288746630242','1'
'288751980145','1'
'288753760149','1'
'288753920149','1'
'288755790143','1'
'288763360143','2'
'288763510143','1'
'288764900145','2'
'288767500149','1'
'288767750140','1'
'288769750141','1'
'288769910141','1'
'288772780142','1'
'288772940142','1'
'288773710141','1'
'288773920142','1'
'288773970141','1'
'288778190142','1'
'288778350142','1'
'288778500142','1'
'288783140146','1'
'288783550146','1'
'288787060142','2'
'288788560146','1'
'288790730147','1'
'288791160146','1'
'288791320146','2'
'288791570146','1'
'288792150344','1'
'288792710147','1'
'288792970147','1'
'288794720147','2'
'288794980147','1'
'288795520144','2'
'288796140149','1'
'288796300149','1'
'288796550149','1'
'288796960140','1'
'288799420140','2'
'288799830140','2'
'288799980341','2'
'288803540141','1'
'288804350140','1'
'288804390142','2'
'288804500140','1'
'288804540142','2'
'288804790242','2'
'288805650146','2'
'288809030141','2'
'288809130142','1'
'288809540142','1'
'288809770146','1'
'288809930146','1'
'288813180145','1'
'288813590145','1'
'288813770143','1'
'288813930143','1'
'288816140141','1'
'288816300141','2'
'288816550141','1'
'288824300140','2'
'288826760148','1'
'288826920148','2'
'288827910146','1'
'288828730146','1'
'288828990146','1'
'288837990240','1'
'288838320148','1'
'288838570148','1'
'288839150146','1'
'288839310146','1'
'288841760149','2'
'288846790144','1'
'288848550149','2'
'288848700140','1'
'288848960140','1'
'288850350143','1'
'288850500143','1'
'288853150149','1'
'288853310149','1'
'288853560149','2'
'288853710140','2'
'288854100145','1'
'288854360145','2'
'288855980143','1'
'288857360242','2'
'288863760144','1'
'288863920144','1'
'288871180143','1'
'288871340143','1'
'288871360148','2'
'288871510148','1'
'288871590143','1'
'288871920248','1'
'288873170145','1'
'288873330145','1'
'288874540142','1'
'288878230143','1'
'288878640143','1'
'288879230148','1'
'288879550146','1'
'288880990144','1'
'288882160143','2'
'288882570143','2'
'288883180141','1'
'288883340141','1'
'288883590141','1'
'288889190148','2'
'288889190445','2'
'288889190742','2'
'288889350148','1'
'288889680148','1'
'288890160141','2'
'288890570141','1'
'288895120144','1'
'288895380144','1'
'288898490141','1'
'288898780148','2'
'288898800141','2'
'288898940148','1'
'288901730149','1'
'288902130246','2'
'288903510142','2'
'288906790245','1'
'288907930144','2'
'288909980147','2'
'288910350142','1'
'288910500142','1'
'288910790143','1'
'288910950143','1'
'288914540142','1'
'288922480149','1'
'288922890149','1'
'288924790143','2'
'288926190247','2'
'288926190544','2'
'288926190841','2'
'288927780146','1'
'288927940146','2'
'288932960142','2'
'288933110143','1'
'288933370143','2'
'288933520143','1'
'288934960146','1'
'288938790143','2'
'288938950143','1'
'288939180145','2'
'288939340145','1'
'288941150143','2'
'288941310143','2'
'288941560143','1'
'288944110142','2'
'288944190146','1'
'288944350146','2'
'288944370142','2'
'288944500146','2'
'288944520142','1'
'288946170142','1'
'288946580142','1'
'288948110145','1'
'288948520145','1'
'288950720143','1'
'288950980440','2'
'288950980549','2'
'288951300147','1'
'288951550147','1'
'288951710146','1'
'288951970146','1'
'288952900144','1'
'288954190340','1'
'288954650141','1'
'288954750143','1'
'288954910143','1'
'288958800141','1'
'288960730144','2'
'288961110149','1'
'288961370149','2'
'288961520149','1'
'288961770140','1'
'288961930140','2'
'288962170148','1'
'288962330148','1'
'288962580148','1'
'288962690149','2'
'288963170140','2'
'288963580140','2'
'288966090140','1'
'288969700141','1'
'288969960141','1'
'288970250140','2'
'288970660140','2'
'288974400141','2'
'288987860148','1'
'288988630140','2'
'288989110142','2'
'288989520142','1'
'288989540147','1'
'288994750148','1'
'288994910148','2'
'288995730148','1'
'289002810141','2'
'289002990141','1'
'289003710149','1'
'289003970149','1'
'289007190145','1'
'289007350145','1'
'289007500145','1'
'289008510147','2'
'289009130145','1'
'289009390145','1'
'289009980146','1'
'289010960144','1'
'289015730144','1'
'289015990144','1'
'289017380144','1'
'289017530144','1'
'289017780244','2'
'289017940244','2'
'289019110147','1'
'289019520147','1'
'289022720144','1'
'289022790146','2'
'289022950146','1'
'289022980144','1'
'289024780141','2'
'289024940141','2'
'289027730143','2'
'289027990143','2'
'289027990147','1'
'289029660146','2'
'289029710145','1'
'289029970144','1'
'289029970145','1'
'289031130144','1'
'289031390144','1'
'289031980142','2'
'289031980548','2'
'289032360144','1'
'289032510144','1'
'289033120149','2'
'289033380149','1'
'289033530149','2'
'289033940140','2'
'289037160140','2'
'289037320140','2'
'289040160146','2'
'289040570146','1'
'289041720141','1'
'289041760146','2'
'289041920146','1'
'289041980141','1'
'289042110149','2'
'289042370149','1'
'289042770140','1'
'289042930140','2'
'289043710142','1'
'289043880147','1'
'289043960147','2'
'289044470144','2'
'289044960144','1'
'289045340148','1'
'289045590148','1'
'289046860140','2'
'289046940140','1'
'289048760145','2'
'289048920145','1'
'289049300146','1'
'289049550146','2'
'289051750147','1'
'289052220146','1'
'289052630146','1'
'289056010146','1'
'289057100147','1'
'289057360147','1'
'289057510147','1'
'289058540147','1'
'289058780149','1'
'289058940149','1'
'289059390147','2'
'289059540147','2'
'289060710147','1'
'289060970147','1'
'289065350140','2'
'289065500140','2'
'289067490141','1'
'289067800141','2'
'289072720149','1'
'289074320147','2'
'289074380140','2'
'289074530140','1'
'289074570147','1'
'289075590142','1'
'289075740242','1'
'289075930149','1'
'289078350148','1'
'289078500148','1'
'289081740141','1'
'289081900141','2'
'289082770148','1'
'289082930148','1'
'289085790147','1'
'289085950147','1'
'289086180141','1'
'289086340141','2'
'289086590141','2'
'289091790147','2'
