CONTROL,RCARP,RCLOT,RCOST,RGROC,RKIDC,RMEDI,ROTHE,RUTIL
'264596053056','-9','-9','-9','-9','-9','-9','-9','-9'
'264596940146','-9','-9','-9','-9','-9','-9','-9','-9'
'264670213054','-9','-9','-9','-9','-9','-9','-9','-9'
'264670623054','-9','-9','-9','-9','-9','-9','-9','-9'
'264926433058','-9','-9','-9','-9','-9','-9','-9','-9'
'264926510145','-9','-9','-9','-9','-9','-9','-9','-9'
'265037093059','-9','-9','-9','-9','-9','-9','-9','-9'
'265037243050','-9','-9','-9','-9','-9','-9','2','-9'
'265037720149','-9','-9','-9','-9','-9','-9','-9','-9'
'265037980149','-9','-9','-9','-9','-9','-9','-9','-9'
'265288483054','-9','-9','-9','-9','-9','-9','-9','-9'
'265288560141','-9','-9','-9','-9','-9','-9','-9','-9'
'265288893054','-9','-9','-9','-9','-9','-9','-9','-9'
'265502213053','-9','-9','-9','-9','-9','-9','-9','-9'
'265549083052','-9','-9','-9','-9','-9','-9','-9','-9'
'265549710142','-9','-9','-9','-9','-9','-9','-9','-9'
'265579160148','-9','-9','-9','-9','-9','-9','-9','-9'
'265579570148','-9','-9','-9','-9','-9','-9','-9','-9'
'265596310240','-9','-9','-9','-9','-9','-9','-9','-9'
'265670493051','-9','-9','-9','-9','-9','-9','-9','-9'
'265670803051','-9','-9','-9','-9','-9','-9','-9','-9'
'266037013056','-9','-9','-9','-9','-9','-9','-9','-9'
'266037740146','-9','-9','-9','-9','-9','-9','-9','-9'
'266258950141','-9','-9','-9','-9','-9','-9','2','-9'
'266288403051','-9','-9','-9','-9','-9','-9','-9','-9'
'266494893051','-9','-9','-9','-9','-9','-9','-9','-9'
'266502233050','-9','-9','-9','-9','-9','-9','-9','-9'
'266579180145','-9','-9','-9','-9','-9','-9','-9','-9'
'266579413058','-9','-9','-9','-9','-9','-9','-9','-9'
'266583873053','-9','-9','-9','-9','-9','-9','-9','-9'
'266670340244','-9','-9','1','-9','-9','1','2','1'
'266926310148','-9','-9','-9','-9','-9','-9','-9','-9'
'266926560148','-9','-9','-9','-9','-9','-9','2','-9'
'267037033053','-9','-9','-9','-9','-9','-9','-9','-9'
'267383150141','-9','-9','-9','-9','-9','-9','-9','-9'
'267383310141','-9','-9','-9','-9','-9','-9','-9','-9'
'267383560141','-9','-9','-9','-9','-9','-9','-9','-9'
'267502003056','-9','-9','-9','-9','1','1','2','-9'
'267549350145','-9','-9','-9','-9','-9','-9','-9','-9'
'267579360142','-9','-9','-9','-9','-9','-9','-9','-9'
'267579433055','-9','-9','-9','1','-9','-9','2','-9'
'267579510142','-9','-9','-9','-9','-9','-9','-9','-9'
'267579843055','-9','-9','-9','-9','-9','-9','-9','-9'
'267596023056','-9','-9','-9','-9','-9','-9','-9','-9'
'267778970142','-9','-9','-9','-9','-9','-9','-9','-9'
'267926170145','-9','-9','-9','-9','1','1','2','-9'
'267926403058','-9','-9','-9','-9','-9','-9','-9','-9'
'268037053050','-9','-9','-9','-9','-9','-9','-9','-9'
'268037120149','-9','-9','-9','-9','-9','-9','-9','-9'
'268037530149','-9','-9','-9','-9','-9','-9','2','-9'
'268037780140','-9','-9','-9','-9','-9','-9','-9','-9'
'268037940140','-9','-9','-9','-9','-9','-9','-9','-9'
'268129730149','-9','-9','-9','-9','-9','-9','-9','-9'
'268129990149','-9','-9','-9','-9','-9','-9','-9','-9'
'268258403057','-9','-9','-9','-9','-9','-9','-9','-9'
'268579453052','-9','-9','-9','-9','-9','1','2','-9'
'268579863052','-9','-9','-9','-9','-9','-9','-9','-9'
'268596043053','-9','-9','-9','-9','-9','-9','-9','-9'
'268670203051','-9','-9','-9','-9','-9','-9','-9','-9'
'268670613051','-9','-9','-9','-9','-9','-9','-9','-9'
'268778170148','-9','-9','-9','-9','-9','-9','-9','-9'
'268778330148','-9','-9','-9','-9','-9','-9','-9','-9'
'269037300146','-9','-9','-9','-9','-9','-9','-9','-9'
'269037473059','-9','-9','-9','-9','-9','-9','-9','-9'
'269037550146','-9','-9','-9','-9','-9','-9','-9','-9'
'269129350343','-9','-9','-9','-9','-9','-9','-9','-9'
'269129750146','1','1','1','1','-9','-9','2','1'
'269258350141','-9','-9','-9','-9','-9','-9','-9','-9'
'269258423054','-9','-9','-9','-9','-9','-9','-9','-9'
'269258833054','-9','-9','-9','-9','-9','-9','-9','-9'
'269383350244','-9','-9','-9','-9','-9','-9','-9','-9'
'269502520149','-9','-9','-9','-9','-9','-9','-9','-9'
'269502770140','-9','-9','-9','-9','-9','-9','-9','-9'
'269550750142','-9','-9','-9','-9','-9','-9','-9','-9'
'269579223058','-9','-9','-9','-9','-9','-9','-9','-9'
'269579633058','-9','-9','-9','-9','-9','-9','2','-9'
'269670960147','-9','-9','-9','-9','-9','-9','-9','-9'
'269778190145','-9','-9','-9','-9','-9','-9','-9','-9'
'269778500145','-9','-9','-9','-9','-9','-9','-9','-9'
'270037243053','-9','-9','-9','-9','-9','-9','-9','-9'
'270037653053','-9','-9','-9','-9','-9','-9','-9','-9'
'270129110140','-9','-9','-9','-9','-9','-9','-9','-9'
'270129370140','-9','-9','-9','-9','-9','-9','-9','-9'
'270129520140','-9','-9','-9','-9','-9','-9','-9','-9'
'270258770147','-9','-9','-9','-9','-9','-9','-9','-9'
'270288150144','-9','-9','-9','-9','-9','-9','-9','-9'
'270288893057','-9','-9','-9','-9','-9','-9','-9','-9'
'270502213056','-9','-9','-9','-9','-9','-9','2','-9'
'270579093052','-9','-9','-9','-9','-9','-9','-9','-9'
'270579980142','-9','-9','-9','-9','-9','-9','2','-9'
'270583110146','-9','-9','-9','-9','-9','-9','-9','-9'
'270583370146','-9','-9','-9','-9','-9','-9','-9','-9'
'270596560243','-9','-9','-9','-9','-9','-9','-9','-9'
'270670160141','-9','-9','-9','-9','-9','-9','-9','-9'
'270670320141','-9','-9','-9','-9','-9','-9','-9','-9'
'270670570141','-9','-9','-9','-9','-9','-9','-9','-9'
'271037013059','-9','-9','-9','-9','-9','-9','-9','-9'
'271037740149','-9','-9','-9','-9','-9','-9','-9','-9'
'271258790144','-9','-9','-9','-9','-9','-9','-9','-9'
'271273780144','-9','-9','-9','-9','-9','-9','-9','-9'
'271288003151','-9','-9','-9','-9','-9','-9','-9','-9'
'271288330141','-9','-9','-9','-9','-9','-9','-9','-9'
'271288580141','-9','-9','-9','-9','-9','-9','-9','-9'
'271288813054','-9','-9','-9','-9','-9','-9','-9','-9'
'271494150141','-9','-9','-9','-9','-9','-9','2','-9'
'271494560141','-9','-9','-9','-9','-9','-9','-9','-9'
'271550213055','-9','-9','-9','-9','-9','-9','-9','-9'
'271579340148','-9','-9','-9','-9','-9','-9','-9','-9'
'271583390143','-9','-9','-9','-9','-9','-9','-9','-9'
'271583463056','-9','-9','-9','-9','-9','-9','-9','-9'
'271583540143','-9','-9','-9','-9','-9','-9','-9','-9'
'271670413051','-9','-9','-9','-9','-9','-9','-9','-9'
'271670823051','-9','-9','-9','-9','-9','-9','-9','-9'
'271846730145','-9','-9','-9','-9','-9','-9','-9','-9'
'271926970142','-9','-9','-9','-9','-9','-9','-9','-9'
'272037033056','-9','-9','-9','-9','-9','-9','-9','-9'
'272037760146','-9','-9','-9','-9','-9','-9','-9','-9'
'272037920146','-9','-9','-9','-9','-9','-9','-9','-9'
'272129310243','-9','-9','-9','-9','-9','-9','-9','-9'
'272238140140','-9','-9','-9','-9','-9','-9','-9','-9'
'272288833051','-9','-9','-9','-9','-9','-9','-9','-9'
'272494813051','-9','-9','-9','-9','-9','-9','-9','-9'
'272500080242','-9','-9','-9','-9','-9','-9','-9','-9'
'272502663050','-9','-9','-9','-9','-9','-9','-9','-9'
'272502730149','-9','-9','-9','-9','-9','-9','-9','-9'
'272579360145','-9','-9','-9','-9','-9','-9','-9','-9'
'272579433058','-9','-9','-9','-9','-9','-9','-9','-9'
'272579510145','-9','-9','-9','-9','-9','-9','-9','-9'
'272583150140','-9','-9','-9','-9','-9','-9','-9','-9'
'272583483053','-9','-9','-9','-9','-9','-9','-9','-9'
'272583560140','-9','-9','-9','-9','-9','-9','-9','-9'
'272583893053','-9','-9','-9','-9','-9','-9','-9','-9'
'272596750149','-9','-9','-9','-9','-9','-9','-9','-9'
'272596910149','-9','-9','-9','-9','-9','-9','-9','-9'
'272670283057','-9','-9','-9','-9','-9','-9','-9','-9'
'272822640144','-9','-9','-9','-9','-9','-9','-9','-9'
'272926330148','-9','-9','-9','-9','-9','-9','2','-9'
'272954080143','-9','-9','-9','-9','-9','-9','-9','-9'
'273037780143','-9','-9','-9','-9','-9','-9','-9','-9'
'273037940143','-9','-9','-9','-9','-9','-9','-9','-9'
'273258170147','-9','-9','-9','-9','-9','-9','-9','-9'
'273281720148','-9','-9','-9','-9','-9','-9','-9','-9'
'273319770149','-9','-9','-9','-9','-9','-9','-9','-9'
'273319930149','-9','-9','-9','-9','-9','-9','-9','-9'
'273383170141','-9','-9','-9','-9','-9','-9','-9','-9'
'273494683057','-9','-9','-9','-9','-9','-9','-9','-9'
'273500400142','-9','-9','-9','-9','-9','-9','-9','-9'
'273500810142','-9','-9','-9','-9','-9','-9','-9','-9'
'273502750146','-9','-9','-9','-9','-9','-9','2','-9'
'273502910146','-9','-9','-9','1','-9','-9','1','1'
'273579120142','-9','-9','-9','-9','-9','-9','-9','-9'
'273579530142','-9','-9','-9','-9','-9','-9','-9','-9'
'273583253059','-9','-9','-9','-9','-9','-9','2','-9'
'273670203054','-9','-9','-9','-9','-9','-9','-9','-9'
'273778730142','-9','-9','-9','-9','-9','-9','2','-9'
'273778990142','-9','-9','-9','-9','-9','-9','-9','-9'
'273822250141','-9','-9','-9','-9','-9','-9','-9','-9'
'273822660141','-9','-9','-9','-9','-9','-9','-9','-9'
'273926190145','-9','-9','-9','-9','-9','-9','-9','-9'
'274037073050','-9','-9','-9','1','-9','-9','2','1'
'274037140149','-9','-9','-9','-9','-9','-9','-9','-9'
'274037550149','-9','-9','-9','-9','-9','-9','-9','-9'
'274258833057','-9','-9','-9','-9','-9','-9','-9','-9'
'274273180144','-9','-9','-9','-9','-9','-9','-9','-9'
'274273340144','-9','-9','-9','-9','-9','-9','2','-9'
'274281740145','-9','-9','-9','-9','-9','-9','-9','-9'
'274494293054','-9','-9','-9','-9','-9','-9','-9','-9'
'274494603054','-9','-9','-9','-9','-9','-9','-9','-9'
'274502930143','-9','-9','-9','-9','-9','-9','-9','-9'
'274579473052','-9','-9','-9','-9','-9','-9','-9','-9'
'274579883052','-9','-9','-9','-9','-9','-9','-9','-9'
'274583683056','-9','-9','1','-9','-9','-9','2','1'
'274670223051','-9','-9','-9','-9','-9','-9','-9','-9'
'274822020147','-9','-9','-9','-9','-9','-9','-9','-9'
'274846390145','-9','-9','-9','-9','-9','-9','-9','-9'
'274926110142','-9','-9','-9','-9','-9','-9','-9','-9'
'274926370142','-9','-9','-9','-9','-9','-9','-9','-9'
'274926520142','-9','-9','-9','-9','-9','-9','-9','-9'
'274926853055','-9','-9','-9','-9','-9','-9','-9','-9'
'274954910149','-9','-9','-9','-9','-9','-9','2','-9'
'275037003056','-9','-9','-9','-9','-9','-9','-9','-9'
'275150233052','1','-9','-9','1','-9','-9','2','1'
'275150643052','-9','-9','-9','-9','-9','-9','-9','-9'
'275238110140','-9','-9','-9','-9','-9','-9','-9','-9'
'275238370140','-9','-9','-9','-9','-9','-9','-9','-9'
'275238520140','-9','-9','-9','-9','-9','-9','-9','-9'
'275273930141','-9','-9','-9','1','-9','-9','2','-9'
'275336893053','-9','-9','-9','-9','-9','-9','-9','-9'
'275357970141','-9','-9','-9','-9','-9','-9','-9','-9'
'275383380144','-9','-9','-9','-9','-9','-9','-9','-9'
'275494473051','-9','-9','-9','-9','-9','-9','-9','-9'
'275494883051','-9','-9','-9','-9','-9','-9','-9','-9'
'275500380342','-9','-9','-9','-9','-9','-9','-9','-9'
'275500380748','-9','-9','-9','-9','-9','-9','-9','-9'
'275500780145','-9','-9','-9','-9','-9','-9','-9','-9'
'275502073059','-9','-9','-9','-9','-9','-9','-9','-9'
'275502633050','-9','-9','-9','-9','-9','-9','-9','-9'
'275502700149','-9','-9','-9','-9','-9','-9','-9','-9'
'275502960149','-9','-9','-9','-9','-9','-9','-9','-9'
'275577320141','-9','-9','-9','-9','-9','-9','-9','-9'
'275579170145','-9','-9','-9','-9','-9','-9','-9','-9'
'275579330145','-9','-9','-9','-9','-9','-9','-9','-9'
'275579813058','-9','-9','-9','-9','-9','-9','-9','-9'
'275583380140','-9','-9','-9','-9','-9','-9','-9','-9'
'275822120144','-9','-9','-9','-9','-9','-9','-9','-9'
'275926300148','-9','-9','-9','-9','-9','-9','-9','-9'
'275954380243','-9','-9','-9','-9','-9','-9','-9','-9'
'275954380649','-9','-9','-9','-9','-9','-9','-9','-9'
'275954381340','-9','-9','-9','-9','-9','-9','-9','-9'
'276086770144','-9','-9','-9','-9','-9','-9','-9','-9'
'276150003058','-9','-9','-9','-9','-9','-9','-9','-9'
'276258550147','-9','-9','-9','-9','-9','-9','-9','-9'
'276336333059','-9','-9','-9','-9','-9','-9','-9','-9'
'276336733050','-9','-9','-9','-9','-9','-9','-9','-9'
'276336813050','-9','-9','-9','-9','-9','-9','-9','-9'
'276357250147','-9','-9','-9','-9','-9','-9','-9','-9'
'276357660147','-9','-9','-9','-9','-9','-9','-9','-9'
'276383300141','-9','-9','-9','-9','-9','-9','-9','-9'
'276383550141','-9','-9','-9','-9','-9','-9','-9','-9'
'276500700142','-9','-9','-9','-9','-9','-9','-9','-9'
'276502720146','-9','-9','-9','1','-9','-9','2','-9'
'276502980146','-9','-9','-9','-9','-9','-9','-9','-9'
'276579350142','-9','-9','-9','-9','-9','-9','-9','-9'
'276579500142','-9','-9','-9','-9','-9','-9','-9','-9'
'276778960142','-9','-9','-9','-9','-9','-9','-9','-9'
'276788920146','-9','-9','-9','-9','-9','-9','-9','-9'
'276822550141','-9','-9','-9','-9','-9','-9','-9','-9'
'276846340148','-9','-9','-9','-9','-9','-9','-9','-9'
'276846590148','-9','-9','-9','-9','-9','-9','-9','-9'
'276903710142','-9','-9','-9','-9','-9','-9','2','-9'
'276926320145','-9','-9','-9','-9','-9','-9','-9','-9'
'276926570145','-9','-9','-9','-9','-9','-9','-9','-9'
'276926803058','-9','-9','-9','-9','-9','-9','-9','-9'
'276987000145','-9','-9','-9','-9','-9','-9','-9','-9'
'277037043159','-9','-9','-9','-9','-9','-9','-9','-9'
'277053190143','-9','-9','-9','-9','-9','-9','-9','-9'
'277053350143','-9','-9','-9','-9','-9','-9','-9','-9'
'277053500143','-9','-9','-9','-9','-9','-9','-9','-9'
'277129720149','-9','-9','-9','-9','-9','-9','-9','-9'
'277129980149','-9','-9','-9','-9','-9','-9','-9','-9'
'277150023055','-9','-9','-9','-9','-9','-9','-9','-9'
'277150750145','-9','-9','-9','-9','-9','-9','-9','-9'
'277150910145','-9','-9','-9','-9','-9','-9','-9','-9'
'277258320144','-9','-9','-9','-9','-9','-9','-9','-9'
'277281710145','-9','-9','-9','-9','-9','-9','-9','-9'
'277281970145','-9','-9','-9','-9','-9','-9','-9','-9'
'277319760146','-9','-9','-9','-9','-9','-9','-9','-9'
'277319920146','-9','-9','-9','-9','-9','-9','-9','-9'
'277336273056','-9','-9','-9','-9','-9','-9','-9','-9'
'277336683056','-9','-9','-9','-9','-9','-9','-9','-9'
'277357350144','-9','-9','-9','-9','-9','-9','-9','-9'
'277357500144','-9','-9','-9','-9','-9','-9','-9','-9'
'277357833057','-9','-9','-9','-9','-9','-9','-9','-9'
'277379750144','-9','-9','-9','-9','-9','-9','-9','-9'
'277384253050','-9','-9','-9','-9','-9','-9','-9','-9'
'277384663050','-9','-9','-9','-9','-9','-9','-9','-9'
'277384730149','-9','-9','-9','-9','-9','-9','-9','-9'
'277384990149','-9','-9','-9','-9','-9','-9','-9','-9'
'277452500149','-9','-9','-9','-9','-9','-9','-9','-9'
'277452750140','-9','-9','-9','-9','-9','-9','-9','-9'
'277500160148','-9','-9','-9','-9','-9','-9','-9','-9'
'277500320148','-9','-9','-9','-9','-9','-9','-9','-9'
'277579443052','-9','-9','-9','-9','-9','-9','-9','-9'
'277589140141','-9','-9','-9','-9','-9','-9','-9','-9'
'277638630144','-9','-9','-9','-9','-9','-9','-9','-9'
'277778320148','-9','-9','-9','-9','-9','-9','-9','-9'
'277778570148','-9','-9','-9','-9','-9','-9','-9','-9'
'277846100145','-9','-9','-9','-9','-9','-9','-9','-9'
'277846360145','-9','-9','-9','-9','-9','-9','-9','-9'
'277846510145','-9','-9','-9','-9','-9','-9','-9','-9'
'277873960142','-9','-9','-9','-9','-9','-9','-9','-9'
'277903170148','-9','-9','-9','-9','-9','-9','-9','-9'
'277941940140','-9','-9','-9','-9','-9','-9','-9','-9'
'277954720149','-9','-9','-9','-9','-9','-9','-9','-9'
'277963140146','-9','-9','-9','-9','-9','-9','-9','-9'
'277963300146','-9','-9','-9','-9','-9','-9','-9','-9'
'278005510141','-9','-9','-9','-9','-9','-9','-9','-9'
'278045710145','-9','-9','-9','-9','-9','-9','-9','-9'
'278045970145','-9','-9','-9','-9','-9','-9','-9','-9'
'278053110140','-9','-9','-9','-9','-9','-9','-9','-9'
'278086560147','-9','-9','-9','-9','-9','-9','-9','-9'
'278129740146','-9','-9','-9','-9','-9','-9','-9','-9'
'278141750142','-9','-9','-9','-9','-9','-9','-9','-9'
'278150043052','-9','-9','-9','-9','-9','-9','2','-9'
'278185440147','-9','-9','-9','-9','-9','-9','-9','-9'
'278185850147','-9','-9','-9','-9','-9','-9','-9','-9'
'278206493059','-9','-9','-9','-9','-9','-9','-9','-9'
'278281990142','-9','-9','-9','-9','-9','-9','-9','-9'
'278319780143','-9','-9','-9','-9','-9','-9','-9','-9'
'278319940143','-9','-9','-9','-9','-9','-9','-9','-9'
'278357370141','-9','-9','-9','-9','-9','-9','-9','-9'
'278357520141','-9','-9','-9','-9','-9','-9','2','-9'
'278357853054','-9','-9','-9','-9','-9','-9','-9','-9'
'278358960147','-9','-9','-9','-9','-9','-9','-9','-9'
'278379440141','-9','-9','-9','-9','-9','-9','-9','-9'
'278379770141','-9','-9','-9','-9','-9','-9','-9','-9'
'278452290146','-9','-9','-9','-9','-9','-9','-9','-9'
'278452600146','-9','-9','-9','-9','-9','-9','-9','-9'
'278486273057','-9','-9','-9','-9','-9','-9','-9','-9'
'278500180145','-9','-9','-9','-9','-9','-9','-9','-9'
'278500670145','-9','-9','-9','-9','-9','-9','-9','-9'
'278502100149','-9','-9','-9','-9','-9','-9','-9','-9'
'278515760142','-9','-9','-9','-9','-9','-9','-9','-9'
'278558720142','-9','-9','-9','1','1','-9','2','-9'
'278583673053','-9','-9','-9','-9','-9','-9','-9','-9'
'278778180145','-9','-9','-9','-9','-9','-9','-9','-9'
'278778340145','-9','-9','-9','-9','-9','-9','-9','-9'
'278788960140','-9','-9','-9','-9','-9','-9','-9','-9'
'278941300146','-9','-9','-9','-9','-9','-9','-9','-9'
'279015720147','-9','-9','-9','-9','-9','-9','-9','-9'
'279015980147','-9','-9','-9','-9','-9','-9','2','-9'
'279086170144','-9','-9','-9','-9','-9','-9','-9','-9'
'279086580144','-9','-9','-9','-9','-9','-9','-9','-9'
'279141110148','-9','-9','-9','-9','-9','-9','2','-9'
'279141370148','-9','-9','-9','-9','-9','-9','2','1'
'279141520148','-9','-9','-9','-9','-9','-9','-9','-9'
'279141930248','-9','-9','-9','-9','-9','-9','-9','-9'
'279150210148','-9','-9','-9','-9','-9','-9','-9','-9'
'279185790144','-9','-9','-9','-9','-9','-9','-9','-9'
'279196750144','-9','-9','-9','-9','-9','-9','-9','-9'
'279200160245','-9','-9','-9','-9','-9','-9','-9','-9'
'279206590143','-9','-9','-9','-9','-9','-9','-9','-9'
'279258843051','-9','-9','-9','-9','-9','-9','2','1'
'279281190148','-9','-9','-9','-9','-9','-9','-9','-9'
'279319700140','-9','-9','-9','-9','-9','-9','-9','-9'
'279319960140','-9','-9','-9','-9','-9','-9','-9','-9'
'279379130147','-9','-9','-9','-9','-9','-9','-9','-9'
'279379390147','-9','-9','-9','-9','-9','-9','-9','-9'
'279379540147','-9','-9','-9','-9','-9','-9','-9','-9'
'279452540143','-9','-9','-9','-9','-9','-9','-9','-9'
'279500690142','-9','-9','-9','-9','-9','-9','-9','-9'
'279515530148','-9','-9','-9','-9','-9','-9','2','-9'
'279558180148','-9','-9','-9','1','-9','-9','2','-9'
'279572770149','-9','-9','-9','-9','-9','-9','-9','-9'
'279670710144','-9','-9','-9','-9','-9','-9','-9','-9'
'279778100142','-9','-9','-9','-9','-9','-9','-9','-9'
'279788570146','-9','-9','-9','-9','-9','-9','-9','-9'
'279788980246','-9','-9','-9','-9','-9','-9','-9','-9'
'279822030141','-9','-9','-9','-9','-9','-9','-9','-9'
'279822280241','-9','-9','-9','-9','-9','-9','-9','-9'
'279873180145','-9','-9','-9','-9','-9','-9','-9','-9'
'279873740245','-9','-9','-9','-9','-9','-9','-9','-9'
'279880013054','-9','-9','-9','-9','-9','-9','-9','-9'
'279880180341','-9','-9','-9','-9','-9','-9','-9','-9'
'279880740144','-9','-9','-9','-9','-9','-9','-9','-9'
'279941160143','-9','-9','-9','-9','-9','-9','-9','-9'
'279941320143','-9','-9','-9','-9','-9','-9','-9','-9'
'279941570143','-9','-9','-9','-9','-9','-9','-9','-9'
'279954430143','-9','-9','-9','-9','-9','-9','-9','-9'
'280053480143','-9','-9','-9','-9','-9','-9','-9','-9'
'280053890143','-9','-9','-9','-9','-9','-9','-9','-9'
'280150313055','-9','-9','-9','-9','-9','-9','-9','-9'
'280185230247','-9','-9','-9','-9','-9','-9','-9','-9'
'280194100148','-9','-9','-9','1','-9','1','2','-9'
'280194510148','-9','-9','-9','-9','-9','-9','2','-9'
'280238520143','-9','-9','-9','-9','-9','-9','-9','-9'
'280242360148','-9','-9','-9','-9','-9','-9','-9','-9'
'280248110148','-9','-9','-9','-9','-9','-9','-9','-9'
'280261110143','-9','-9','-9','-9','-9','-9','-9','-9'
'280261370143','-9','-9','-9','-9','-9','-9','-9','-9'
'280269760149','-9','-9','-9','-9','-9','-9','-9','-9'
'280273930144','-9','-9','-9','-9','-9','-9','-9','-9'
'280336713056','-9','-9','-9','-9','-9','-9','-9','-9'
'280383380147','-9','-9','-9','-9','-9','-9','-9','-9'
'280383530147','-9','-9','-9','-9','-9','-9','-9','-9'
'280389280143','-9','-9','-9','-9','-9','-9','-9','-9'
'280389690143','-9','-9','-9','-9','-9','-9','-9','-9'
'280410750149','-9','-9','-9','-9','-9','-9','-9','-9'
'280452480149','-9','-9','-9','-9','-9','-9','-9','-9'
'280500860148','-9','-9','-9','-9','-9','-9','-9','-9'
'280550203055','-9','-9','-9','-9','-9','-9','-9','-9'
'280579580148','-9','-9','-9','-9','-9','1','2','-9'
'280594230148','-9','-9','-9','-9','-9','-9','-9','-9'
'280594230445','-9','-9','-9','-9','-9','-9','1','-9'
'280594560148','-9','-9','-9','-9','-9','-9','-9','-9'
'280641180148','-9','-9','-9','-9','-9','-9','-9','-9'
'280641590148','-9','-9','-9','-9','-9','-9','-9','-9'
'280730930144','-9','-9','-9','-9','-9','-9','-9','-9'
'280733190146','-9','-9','-9','-9','-9','-9','-9','-9'
'280733350146','-9','-9','-9','-9','-9','-9','-9','-9'
'280733500146','-9','-9','-9','-9','-9','-9','-9','-9'
'280749710140','-9','-9','-9','-9','-9','-9','-9','-9'
'280778940148','-9','-9','-9','-9','-9','-9','-9','-9'
'280822200147','-9','-9','-9','-9','-9','-9','-9','-9'
'280828100140','-9','-9','-9','-9','-9','-9','-9','-9'
'280848930141','-9','-9','-9','-9','-9','-9','-9','-9'
'280890750147','-9','-9','-9','-9','-9','-9','-9','-9'
'280963760146','-9','-9','-9','-9','-9','-9','-9','-9'
'280963920146','-9','-9','-9','-9','-9','-9','-9','-9'
'280987230142','-9','-9','-9','-9','-9','-9','-9','-9'
'280987640142','-9','-9','-9','-9','-9','-9','-9','-9'
'281053250149','-9','-9','-9','-9','-9','-9','-9','-9'
'281053810140','-9','-9','-9','-9','-9','-9','-9','-9'
'281150253052','-9','-9','-9','-9','-9','-9','-9','-9'
'281185000144','-9','-9','-9','-9','-9','-9','-9','-9'
'281194120145','-9','-9','-9','-9','-9','-9','-9','-9'
'281238540140','-9','-9','-9','-9','-9','-9','-9','-9'
'281242380145','-9','-9','-9','-9','-9','-9','-9','-9'
'281242940245','-9','-9','-9','-9','-9','-9','-9','-9'
'281258073051','-9','-9','-9','-9','-9','-9','-9','-9'
'281258960141','-9','-9','-9','-9','-9','-9','-9','-9'
'281261390140','-9','-9','-9','-9','-9','-9','-9','-9'
'281336000149','-9','-9','-9','-9','-9','-9','-9','-9'
'281336170140','-9','-9','-9','-9','-9','-9','-9','-9'
'281336330140','-9','-9','-9','-9','-9','-9','2','-9'
'281336810240','-9','-9','-9','-9','-9','-9','-9','-9'
'281357730141','-9','-9','-9','-9','-9','-9','-9','-9'
'281357810141','-9','1','1','1','-9','-9','2','1'
'281389050149','-9','-9','-9','-9','-9','-9','-9','-9'
'281452730146','-9','-9','-9','-9','-9','-9','-9','-9'
'281452990146','-9','-9','-9','-9','-9','-9','-9','-9'
'281482110146','-9','-9','-9','-9','-9','-9','-9','-9'
'281500470145','-9','-9','-9','-9','-9','-9','-9','-9'
'281500960145','-9','-9','-9','-9','-9','-9','-9','-9'
'281532890145','-9','-9','-9','-9','-9','-9','-9','-9'
'281577180141','-9','-9','-9','-9','-9','-9','-9','-9'
'281583140140','-9','-9','-9','-9','-9','-9','-9','-9'
'281583300140','-9','-9','-9','-9','-9','-9','-9','-9'
'281583883053','-9','1','-9','1','-9','1','-7','-9'
'281638940141','-9','-9','-9','-9','-9','-9','-9','-9'
'281641100145','-9','-9','1','1','-9','-9','2','-9'
'281687570140','-9','-9','-9','-9','-9','-9','2','-9'
'281687980240','-9','-9','-9','-9','-9','-9','2','-9'
'281687980349','-9','-9','-9','-9','-9','-9','-9','-9'
'281730790141','-9','-9','-9','-9','-9','-9','-9','-9'
'281733520143','-9','-9','-9','-9','-9','-9','-9','-9'
'281788920149','-9','-9','-9','-9','-9','-9','-9','-9'
'281818380142','-9','1','-9','-9','-9','-9','2','-9'
'281822220144','-9','-9','-9','-9','-9','-9','-9','-9'
'281850960146','-9','-9','-9','-9','-9','-9','-9','-9'
'281873780148','-9','-9','-9','-9','-9','-9','-9','-9'
'281926320148','-9','-9','-9','-9','-9','-9','-9','-9'
'281954700343','-9','-9','-9','-9','-9','-9','-9','-9'
'281963940143','-9','-9','-9','-9','-9','-9','-9','-9'
'282005340147','-9','-9','-9','-9','-9','-9','-9','-9'
'282005590147','-9','-9','-9','-9','-9','-9','2','-9'
'282037043053','-9','-9','-9','-9','-9','-9','-9','-9'
'282053270146','-9','-9','-9','-9','-9','-9','-9','-9'
'282053680146','-9','-9','-9','-9','-9','-9','-9','-9'
'282125290142','-9','-9','-9','-9','-9','-9','-9','-9'
'282125600142','-9','-9','-9','-9','-9','-9','-9','-9'
'282141730148','-9','-9','-9','-9','-9','-9','2','-9'
'282150830148','-9','-9','-9','-9','-9','-9','-9','-9'
'282194300142','-9','-9','-9','-9','-9','-9','2','-9'
'282200530145','-9','-9','-9','-9','-9','-9','-9','-9'
'282242140142','-9','-9','-9','-9','-9','-9','-9','-9'
'282242300142','-9','-9','-9','-9','-9','-9','-9','-9'
'282258320147','-9','-9','-9','-9','-9','-9','-9','-9'
'282321970143','-9','-9','-9','-9','-9','-9','-9','-9'
'282336020146','-9','-9','-9','-9','-9','-9','-9','-9'
'282336273059','-9','-9','-9','-9','-9','-9','-9','-9'
'282336423050','-9','-9','-9','-9','-9','-9','-9','-9'
