CONTROL,RMOV,XCOND,XCOOP,XCOST,XHEAD,XINUS,XPER,XREL,XTEN,XUNIT,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'689055980144',1,'3','-6','2','1','-9',-7,'-6','1','1','1','-9','-9','-9','-9','-9'
'689065750145',1,'2','-6','2','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'689067370141',1,'3','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'689068750145',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'689072110149',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'689089910141',1,'3','-6','2','1','-9',5,'-6','2','1','1','-9','-9','-9','-9','-9'
'689091340147',1,'3','-6','1','1','-9',-7,'-6','2','2','1','-9','-9','-9','1','-9'
'689092190141',1,'2','-6','3','1','-9',6,'-6','2','1','1','-9','-9','-9','-9','-9'
'689092350141',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'689092380149',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'689092380149',2,'3','-6','3','1','-9',4,'-6','2','1','2','-9','-9','-9','-9','-9'
'689092380149',3,'3','-6','3','1','-9',1,'-6','2','2','3','-9','-9','-9','-9','1'
'689092780140',1,'3','-6','2','1','-9',1,'-6','1','3','1','-9','-9','-9','-9','1'
'689096730143',1,'3','-6','-7','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'689097790145',1,'-6','-6','-6','-6','-9',-6,'-6','-6','4','1','-9','-9','-9','1','-9'
'689100320240',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'689100320349',1,'3','-6','1','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'689103140141',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'689103350140',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'689103350140',2,'3','-6','1','1','-9',1,'-6','2','2','2','-9','-9','-9','-9','1'
'689105920147',1,'-8','-6','-7','-8','-9',-8,'-6','1','1','1','-9','1','1','-9','-9'
'689114580242',1,'3','-6','2','2','-9',8,'2','2','2','1','-9','-9','-9','-9','-9'
'689114580242',2,'3','-6','1','1','-9',3,'-6','3','1','2','-9','-9','-9','-9','-9'
'689115310145',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'689115560145',1,'3','-6','3','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'689116150141',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'689117990141',1,'3','-6','3','1','-9',1,'-6','2','1','1','-9','-9','-9','-9','1'
'689135590142',1,'3','-6','1','1','-9',1,'-6','2','1','1','-9','-9','-9','-9','1'
'689136750142',1,'3','-6','1','2','-9',3,'2','3','1','1','-9','-9','-9','-9','-9'
'689141790140',1,'3','-6','2','1','-9',4,'-6','2','2','1','-9','-9','-9','-9','-9'
'689141950140',1,'3','-6','3','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'689142890141',1,'3','-6','2','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'689143320145',1,'3','-6','2','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'689143550141',1,'3','-6','2','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'689143550141',2,'3','-6','2','1','-9',2,'-6','2','2','2','-9','-9','-9','-9','-9'
'689148710140',1,'3','-6','2','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'689148710140',2,'3','-6','2','1','-9',2,'-6','2','2','2','-9','-9','-9','-9','-9'
'689152140541',1,'3','-6','3','1','-9',3,'-6','2','2','1','-9','-9','-9','-9','-9'
'689152900142',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'689152900142',2,'4','-6','-7','-7','-9',-7,'-6','2','-7','2','-9','1','-9','-9','-9'
'689155760148',1,'4','-6','3','2','-9',4,'2','2','2','1','-9','-9','-9','-9','-9'
'689158970347',1,'3','-6','1','2','-9',5,'1','1','1','1','-9','-9','-9','-9','-9'
'689160900148',1,'3','-6','3','2','-9',7,'2','1','1','1','-9','-9','-9','-9','-9'
'689169020149',1,'-6','-6','-6','-6','1',-6,'-6','-6','-6','1','-9','-9','-9','1','-9'
'689170410147',1,'3','-6','1','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'689170930145',1,'3','-6','2','1','-9',3,'-6','1','1','1','-9','-9','-9','-9','-9'
'689171970144',1,'3','-6','2','1','-9',2,'-6','2','1','1','-9','-9','-9','-9','-9'
'689174443057',1,'3','-6','1','1','-9',3,'-6','3','1','1','-9','-9','-9','-9','-9'
