Sourcekey,N3010US2,N3010AL2,N3010AK2,N3010AZ2,N3010AR2,N3010CA2,N3010CO2,N3010CT2,N3010DE2,N3010DC2,N3010FL2,N3010GA2,N3010HI2,N3010ID2,N3010IL2,N3010IN2,N3010IA2,N3010KS2,N3010KY2,N3010LA2,N3010ME2,N3010MD2,N3010MA2,N3010MI2,N3010MN2,N3010MS2,N3010MO2,N3010MT2,N3010NE2,N3010NV2,N3010NH2,N3010NJ2,N3010NM2,N3010NY2,N3010NC2,N3010ND2,N3010OH2,N3010OK2,N3010OR2,N3010PA2,N3010RI2,N3010SC2,N3010SD2,N3010TN2,N3010TX2,N3010UT2,N3010VT2,N3010VA2,N3010WA2,N3010WV2,N3010WI2,N3010WY2
Date,U.S. Natural Gas Residential Consumption (MMcf),Alabama Natural Gas Residential Consumption (MMcf),Alaska Natural Gas Residential Consumption (MMcf),Arizona Natural Gas Residential Consumption (MMcf),Arkansas Natural Gas Residential Consumption (MMcf),California Natural Gas Residential Consumption (MMcf),Colorado Natural Gas Residential Consumption (MMcf),Connecticut Natural Gas Residential Consumption (MMcf),Delaware Natural Gas Residential Consumption (MMcf),District of Columbia Natural Gas Residential Consumption (MMcf),Florida Natural Gas Residential Consumption (MMcf),Georgia Natural Gas Residential Consumption (MMcf),Hawaii Natural Gas Residential Consumption (MMcf),Idaho Natural Gas Residential Consumption (MMcf),Illinois Natural Gas Residential Consumption (MMcf),Indiana Natural Gas Residential Consumption (MMcf),Iowa Natural Gas Residential Consumption (MMcf),Kansas Natural Gas Residential Consumption (MMcf),Kentucky Natural Gas Residential Consumption (MMcf),Louisiana Natural Gas Residential Consumption (MMcf),Maine Natural Gas Residential Consumption (MMcf),Maryland Natural Gas Residential Consumption (MMcf),Massachusetts Natural Gas Residential Consumption (MMcf),Michigan Natural Gas Residential Consumption (MMcf),Minnesota Natural Gas Residential Consumption (MMcf),Mississippi Natural Gas Residential Consumption (MMcf),Missouri Natural Gas Residential Consumption (MMcf),Montana Natural Gas Residential Consumption (MMcf),Nebraska Natural Gas Residential Consumption (MMcf),Nevada Natural Gas Residential Consumption (MMcf),New Hampshire Natural Gas Residential Consumption (MMcf),New Jersey Natural Gas Residential Consumption (MMcf),New Mexico Natural Gas Residential Consumption (MMcf),New York Natural Gas Residential Consumption (MMcf),North Carolina Natural Gas Residential Consumption (MMcf),North Dakota Natural Gas Residential Consumption (MMcf),Ohio Natural Gas Residential Consumption (MMcf),Oklahoma Natural Gas Residential Consumption (MMcf),Oregon Natural Gas Residential Consumption (MMcf),Pennsylvania Natural Gas Residential Consumption (MMcf),Rhode Island Natural Gas Residential Consumption (MMcf),South Carolina Natural Gas Residential Consumption (MMcf),South Dakota Natural Gas Residential Consumption (MMcf),Tennessee Natural Gas Residential Consumption (MMcf),Texas Natural Gas Residential Consumption (MMcf),Utah Natural Gas Residential Consumption (MMcf),Vermont Natural Gas Residential Consumption (MMcf),Virginia Natural Gas Residential Consumption (MMcf),Washington Natural Gas Residential Consumption (MMcf),West Virginia Natural Gas Residential Consumption (MMcf),Wisconsin Natural Gas Residential Consumption (MMcf),Wyoming Natural Gas Residential Consumption (MMcf)
1987,4314833,49077,12256,28426,40055,503473,86263,36134,7074,16729,14566,100630,591,7007,407875,139048,65246,69653,59094,61377,528,70670,104847,314293,89943,26599,116050,15359,38871,14141,5604,168641,27534,334417,35903,8063,326480,64164,18750,251175,16742,20200,9288,43483,210688,41536,1663,55421,29799,35634,103154,10616
1988,4630330,48913,12529,28206,42867,497138,92888,39485,7586,17471,14891,108125,563,7683,462339,153609,76111,76420,64027,59707,568,74918,108631,348512,109669,26889,128317,16900,43502,15275,5927,181506,27846,357260,38384,9147,350612,71970,20819,268038,17678,20790,10687,47668,209957,42241,1868,58539,34981,37690,121335,11650
1989,4780638,48118,13589,27084,42312,514276,91567,40687,7595,17433,13089,103681,565,8783,499984,155934,77403,76033,65086,57705,638,75138,111661,361667,116909,26312,129144,18195,44804,16765,6290,195542,26591,364713,38658,9825,359148,71793,22504,270742,18283,20472,11342,49196,230099,45168,2126,61712,38359,37128,127009,11780
1990,4391324,45411,14165,30320,39188,514507,91916,37446,7270,15137,12976,90263,565,8569,442163,140492,71380,71327,56064,53392,648,66428,106809,327396,106966,25045,115950,16850,41499,17153,5903,171660,28145,337988,35003,9183,308321,65618,23383,240016,17724,18396,10204,46340,210655,43424,2150,51438,40346,32600,114050,11485
1991,4555659,46149,13562,31353,40639,508697,97440,37181,7189,15286,12908,96662,545,10223,466970,146446,78801,74825,59465,54593,722,69235,102955,337205,117148,25756,120680,18413,44671,19135,5609,176640,29767,338892,37976,10338,321724,69200,26324,242728,17366,19612,11218,49357,222200,50572,2203,54199,46222,32587,124081,11992
1992,4690065,49644,14350,28386,39474,479537,94614,42394,8194,16587,14380,108214,551,9659,475360,152692,74879,71522,61911,55221,872,75122,119670,358088,113560,26487,116655,16673,41414,18184,6449,198462,31433,378689,42588,9693,340628,65811,23109,266528,20000,22392,10791,52220,214682,44701,2520,62431,43048,35291,123405,10895
1993,4956445,51366,13858,28161,45545,500968,106187,42213,8295,16589,13940,115655,558,12557,495311,163944,83422,84896,66909,56609,901,76871,121228,369801,123401,28347,134172,20360,48256,20683,6493,195569,31843,384216,47104,10717,354110,78360,29777,268996,19722,24345,12431,58919,231799,51779,2530,65472,53258,35208,130134,12661
1994,4847702,49748,14895,29684,41527,520959,99504,41600,8557,15865,13855,105436,578,12285,473788,157467,78260,74156,62533,52981,894,76688,119642,364588,122249,27086,122566,18714,44397,21263,6572,216873,30868,385408,47451,10661,343331,69211,28848,268405,17384,23486,12056,57334,213433,48922,2438,65176,53144,35201,128175,11564
1995,4850318,49570,15231,26893,41107,477495,104286,40824,8505,15690,14540,114670,574,13003,500796,161059,82238,75846,66149,52603,913,76552,105795,380025,128736,26960,125110,19640,45054,20686,6507,194432,28770,375005,49379,11209,357754,68702,28067,262126,17342,25164,12610,59994,206415,48975,2299,68712,52763,35379,136012,12152
1996,5241414,56522,16179,27709,46289,473310,110924,43764,9791,17290,16293,127062,540,14941,538749,179939,88078,85376,70232,56626,967,85533,114365,399522,142319,30157,137225,22175,48989,22607,7012,222619,33689,403264,58812,12591,374824,76629,33236,278606,18839,29406,14085,70423,229318,54344,2523,76214,62689,37390,147893,13534
