control,ROTHE,rgroc,rclot,rcarp,rkidc,rmedi,rutil,rcost
'177053920540','1','-9','-9','-9','-9','-9','-9','1'
'177357280144','2','-9','-9','-9','-9','-9','-9','-9'
'177502330133','2','-9','-9','-9','-9','-9','-9','-9'
'177502910143','2','-9','-9','-9','-9','-9','-9','-9'
'177583930133','2','-9','-9','-9','-9','-9','-9','-9'
'177903180148','2','1','1','1','-9','1','-9','1'
'177963890246','2','-9','-9','-9','-9','-9','-9','-9'
'178129750146','2','-9','-9','-9','-9','-9','-9','-9'
'178452610146','2','-9','-9','-9','-9','-9','-9','-9'
'178788310149','2','-9','-9','-9','-9','-9','-9','-9'
'178788560149','1','-9','-9','-9','-9','-9','-9','-9'
'178880990147','2','-9','-9','-9','1','-9','-9','-9'
'179086340144','2','-9','-9','-9','-9','-9','-9','-9'
'179185700144','2','-9','-9','-9','-9','-9','-9','-9'
'179572780149','2','-9','-9','-9','-9','-9','-9','-9'
'179583930149','2','-9','-9','1','-9','-9','-9','-9'
'179880910144','2','1','-9','-9','-9','-9','-9','-9'
'179954850143','2','-9','-9','-9','-9','-9','-9','-9'
'180206770149','2','-9','-9','-9','-9','1','-9','-9'
'180452160346','2','1','-9','-9','-9','-9','1','1'
'180733510146','2','-9','-9','-9','-9','-9','-9','-9'
'180941830149','2','-9','-9','1','-9','-9','-9','-9'
'181336590140','2','-9','-9','-9','-9','1','-9','-9'
'181583430133','2','-9','-9','-9','-9','-9','-9','-9'
'181583830133','2','1','1','-9','-9','-9','1','1'
'181596430133','2','-9','-9','-9','-9','-9','-9','-9'
'181733120143','1','-9','-9','-9','-9','-9','-9','-9'
'182053510146','2','-9','-9','-9','-9','-9','-9','-9'
'182194310142','2','-9','-9','-9','-9','-9','-9','-9'
'182389080146','2','-9','-9','-9','-9','-9','-9','-9'
'182408860143','2','-9','-9','-9','-9','-9','-9','-9'
'182410700143','2','1','-9','-9','-9','-9','-9','-9'
'182591540445','2','-9','-9','-9','-9','-9','-9','-9'
'182594360142','2','-9','-9','-9','-9','-9','-9','-9'
'182597590147','2','-9','-9','-9','-9','-9','-9','-9'
'182809180141','1','-7','-9','-9','-9','-9','-9','-9'
'182939720145','2','-9','-9','-9','-9','-9','-9','-9'
'183294730143','2','-9','-9','-9','-9','-9','-9','-9'
'183452860140','2','-9','-9','-9','-9','-9','-9','-9'
'183468300149','2','-9','-9','-9','-9','-9','-9','-9'
'183502630133','2','-9','-9','-9','-9','-9','-9','-9'
'183890160147','2','-9','-9','-9','-9','-9','-9','-9'
'183963660146','2','-9','-9','-9','-9','-9','-9','-9'
'184067720147','2','1','-9','-9','-9','-9','-9','1'
