control,ROTHE,rgroc,rclot,rcarp,rkidc,rmedi,rutil,rcost
'274822020147','2','-9','-9','-9','-9','-9','-9','-9'
'274926110142','2','-9','-9','-9','-9','-9','-9','-9'
'274954910149','2','-9','-9','-9','-9','-9','-9','-9'
'275502130133','1','-7','-9','-9','-9','-9','-9','-9'
'275954380649','2','-9','-9','-9','-9','-9','-9','-9'
'276502720146','2','-9','-9','-9','-9','-9','-9','-9'
'276583230133','2','-9','-9','-9','-9','-9','-9','-9'
'276778960142','2','-9','-9','-9','-9','-9','-9','-9'
'276903710142','2','-9','-9','-9','-9','-9','-9','-9'
'277384730149','2','-9','-9','-9','-9','-9','-9','1'
'277500160148','2','-9','-9','-9','-9','-9','-9','-9'
'277500570148','2','-9','-9','-9','-9','-9','-9','-9'
'277846100145','2','-9','-9','-9','-9','-9','-9','-9'
'277963300146','2','-9','-9','-9','-9','-9','-9','-9'
'278502920140','2','-9','-9','-9','-9','-9','-9','-9'
'278515920142','1','-9','-9','-9','-9','-9','-9','-9'
'278558720142','2','-9','-9','-9','-9','-9','-9','-9'
'279141930248','1','-7','-9','-9','-9','-9','-9','-9'
'279150620148','2','1','1','-9','-9','-9','-9','-9'
'279206590143','2','-9','-9','-9','-9','-9','-9','-9'
'279281190148','2','-9','-9','-9','-9','-9','-9','-9'
'279379540147','2','-9','-9','-9','-9','-9','-9','-9'
'279515120148','2','-9','-9','-9','-9','-9','-9','1'
'279583430133','2','-9','-9','-9','-9','-9','-9','-9'
'279873740245','2','-9','-9','-9','-9','-9','-9','-9'
'279880180341','2','-9','-9','-9','-9','-9','-9','-9'
'279941320143','2','1','1','-9','-9','1','1','1'
'280053890143','2','1','-9','-9','-9','-9','-9','1'
'280194510148','2','-9','-9','-9','-9','-9','-9','-9'
'280206760149','2','-9','-9','-9','-9','-9','-9','-9'
'280641590148','2','-9','-9','-9','-9','-9','-9','-9'
'280749710140','2','-9','-9','1','-9','-9','1','1'
'281086770147','2','-9','-9','-9','-9','-9','-9','-9'
'281336810240','2','-9','-9','-9','-9','-9','-9','-9'
'281389050149','1','-9','-9','-9','-9','-9','-9','-9'
'281687980240','2','-9','-9','-9','-9','-9','-9','-9'
'282125290142','2','1','-9','-9','-9','-9','-9','-9'
'282273310147','2','1','-9','1','-9','1','1','-9'
'282273560147','2','-9','-9','-9','-9','-9','-9','-9'
'282321970143','2','1','-9','-9','-9','-9','-9','-9'
'282408850143','2','-9','-9','-9','-9','-9','-9','-9'
'282410950143','2','1','-9','-9','-9','-9','-9','-9'
'282452830143','2','-9','-9','-9','-9','-9','-9','-9'
'282512000249','2','-9','-9','-9','-9','-9','-9','-9'
'282657190242','2','-9','-9','-9','-9','-9','-9','-9'
'282749500143','2','-9','-9','-9','-9','-9','-9','-9'
'283357600144','2','-9','-9','-9','-9','-9','-9','-9'
'283589160141','2','-9','-9','-9','-9','-9','-9','-9'
'283596930133','2','-9','-9','-9','-9','-9','-9','-9'
'283746060148','2','1','-9','-9','-9','-9','-9','-9'
'283873720142','2','-9','-9','-9','-9','-9','-9','-9'
'283895770141','2','1','-9','-9','-9','-9','-9','-9'
'284037150146','2','-9','-9','-9','-9','-9','-9','-9'
'284045990145','2','1','-9','-9','-9','-9','-9','-9'
'284086170147','2','-9','-9','-9','-9','1','-9','-9'
'284121130145','2','-9','-9','-9','-9','-9','-9','-9'
'284206030133','2','1','-9','-9','-9','1','-9','-9'
'284408150146','2','-9','-9','-9','-9','-9','-9','-9'
'284423540148','2','-9','-9','-9','-9','-9','-9','-9'
'284532290145','2','-9','-9','-9','-9','-9','-9','-9'
'284649090141','2','-9','-9','-9','-9','-9','-9','-9'
'284873180148','2','1','-9','1','1','-9','-9','1'
'284941160146','2','-9','-9','-9','-9','-9','-9','-9'
'285194370142','2','-9','-9','-9','-9','-9','-9','-9'
'285303970145','2','1','-9','-9','-9','-9','-9','-9'
'285401540144','2','-9','-9','-9','-9','-9','-9','-9'
'285437540142','2','1','1','-9','-9','-9','-9','-9'
'285477590140','2','1','-9','-9','-9','1','1','-9'
'285515150345','1','-9','-9','-9','-9','-9','-9','-9'
'285558850148','2','-9','-9','-9','-9','-9','-9','-9'
'285583930133','1','-9','-9','-9','-9','-9','-9','-9'
'285589330148','2','-9','-9','-9','-9','-9','-9','-9'
'285730120147','1','1','1','1','-9','1','1','1'
'285733360140','2','-9','-9','-9','-9','-9','-9','-9'
'285822210141','2','-9','-9','-9','-9','-9','-9','-9'
'285850950143','2','1','-9','-9','-9','-9','1','-9'
'286044360145','2','1','1','1','-9','-9','1','1'
'286086940141','2','-9','-9','-9','-9','-9','-9','-9'
'286282100147','2','-9','-9','-9','-9','-9','-9','-9'
'286302910146','2','-9','-9','-9','-9','-9','-9','-9'
'286391120142','2','-9','-9','-9','-9','-9','-9','-9'
'286443670145','2','-9','-9','-9','-9','-9','-9','-9'
'286502130133','2','-9','-9','-9','-9','-9','-9','-9'
'286504780140','2','1','-9','-9','-9','-9','-9','-9'
'286698340141','2','1','-9','-9','-9','1','1','1'
'286809500148','2','-9','-9','-9','-9','-9','-9','-9'
'286850150149','2','-9','-9','-9','-9','-9','-9','-9'
'286853930146','2','-9','-9','-9','-9','-9','-9','-9'
'286854980142','2','-9','-9','-9','-9','-9','-9','-9'
'286860010144','2','-9','-9','-9','-9','-9','-9','-9'
'286888510143','2','-9','-9','-9','-9','-9','-9','-9'
'286946540148','2','-9','-9','-9','-9','-9','-9','-9'
'287053690140','2','1','-9','-9','-9','-9','-9','-9'
'287081960147','2','-9','-9','-9','-9','-9','-9','-9'
'287121510145','2','-9','-9','-9','-9','-9','-9','-9'
'287167990149','2','-9','-9','-9','-9','-9','1','-9'
'287168150149','2','-9','-9','-9','-9','-9','-9','-9'
'287220550141','2','-9','-9','-9','-9','-9','-9','-9'
'287226970146','2','-9','-9','-9','-9','-9','-9','-9'
'287253600146','1','-9','-9','-9','-9','-9','-9','-9'
'287297510149','2','-9','-9','-9','-9','-9','-9','-9'
'287303350148','2','1','-9','-9','-9','-9','1','-9'
'287333630144','2','1','-9','-9','-9','-9','-9','-9'
'287374880145','1','1','-9','-9','-9','-9','1','-9'
'287379430141','2','-9','-9','-9','-9','-9','-9','-9'
'287425590246','2','-7','-9','-9','-9','-9','-9','-9'
'287474940146','2','-9','-9','-9','-9','-9','-9','-9'
'287489930133','2','-9','-9','-9','-9','-9','-9','-9'
'287502730133','2','-9','-9','-9','-9','-9','-9','-9'
'287560900142','2','-9','-9','-9','-9','-9','-9','-9'
'287674100141','2','-9','-9','-9','-9','-9','-9','-9'
'287839540149','2','1','-9','-9','-9','-9','-9','-9'
'287845190142','2','-9','-9','-9','-9','-9','-9','-9'
'287888530140','2','1','-9','-9','-9','-9','-9','-9'
'287922060140','2','-9','-9','-9','-9','-9','-9','-9'
'287951780141','1','-9','-9','-9','-9','-9','-9','-9'
'288028520140','2','-9','-9','-9','-9','-9','-9','-9'
'288028520249','2','-9','-9','-9','-9','-9','-9','-9'
'288040700140','2','-9','-9','-9','-9','-9','1','-9'
'288138110149','2','1','-9','-9','-9','-9','1','-9'
'288188510142','2','-9','-9','-9','-9','-9','-9','1'
'288190990141','2','1','-9','-9','-9','-9','-9','-9'
'288239880149','1','-9','-9','-9','-9','-9','-9','-9'
'288261120441','2','-9','-9','-9','-9','-9','-9','-9'
'288276760148','2','1','1','-9','-9','-9','-9','-9'
'288306390149','2','-9','-9','-9','-9','1','-9','-9'
'288315580143','2','-9','-9','-9','-9','-9','-9','-9'
'288319130149','2','-9','-9','-9','-9','-9','-9','-9'
'288328380141','2','-9','-9','-9','-9','-9','-9','-9'
'288335710147','2','-9','-9','-9','-9','1','-9','-9'
'288336630123','2','-9','-9','-9','-9','-9','-9','-9'
'288440780140','1','-9','-9','-9','-9','-9','-9','1'
'288447900148','2','-9','-9','-9','-9','-9','-9','-9'
'288460720149','1','-9','-9','-9','-9','-9','-9','-9'
'288477970147','2','-9','-9','-9','-9','-9','1','-9'
'288503760146','2','-9','-9','-9','-9','-9','-9','-9'
'288546950140','2','-9','-9','-9','-9','-9','-9','-9'
'288563940144','2','-9','-9','-9','-9','-9','-9','-9'
'288583930133','2','-9','-9','-9','-9','-9','-9','-9'
'288654700142','2','-9','-9','-9','-9','-9','-9','-9'
'288684900142','2','-9','-9','-9','-9','-9','-9','-9'
'288712950142','1','-9','-9','-9','-9','-9','-9','-9'
'288713740146','2','-9','-9','-9','-9','-9','-9','-9'
'288719960141','1','-9','-9','-9','-9','-9','-9','-9'
'288767500149','2','-9','-9','-9','-9','-9','-9','-9'
'288772940142','2','-9','-9','-9','-9','-9','-9','-9'
'288792150344','2','1','-9','-9','-9','-9','-9','-9'
'288837990240','2','-9','-9','-9','-9','-9','-9','-9'
'288848700140','2','-9','-9','-9','-9','-9','-9','-9'
'288855980143','2','-9','-9','-9','-9','-9','-9','-9'
'288871510148','2','-9','-9','-9','-9','-9','-9','-9'
'288873330145','2','-9','-9','-9','-9','-9','-9','-9'
'288882160143','2','-9','-9','-9','-9','-9','-9','-9'
'288901730149','2','-9','-9','-9','-9','-9','-9','-9'
'288906790245','2','-9','-9','-9','-9','-9','-9','-9'
'288910500142','2','-9','-9','-9','-9','-9','-9','-9'
'288932960142','2','-9','-9','-9','-9','-9','-9','-9'
'288950720143','1','-9','-9','-9','-9','-9','-9','-9'
'288994750148','2','-9','-9','-9','-9','-9','-9','-9'
'289075740242','2','-9','-9','-9','-9','-9','-9','-9'
'289104730148','2','-9','-9','-9','-9','-9','-9','-9'
'289120430144','2','1','-9','-9','-9','1','-9','-9'
'289161580147','2','-9','-9','-9','-9','-9','-9','-9'
'289162350144','2','1','1','-9','-9','-9','-9','-9'
'289167770143','2','-9','-9','-9','-9','1','-9','-9'
'289176720143','2','-9','-9','-9','-9','-9','-9','-9'
'289263760145','2','1','-9','-9','-9','-9','-9','-9'
'289335760148','2','-9','-9','-9','-9','-9','-9','-9'
'289338520148','2','1','-9','-9','-9','-9','-9','1'
'289344650143','2','1','-9','-9','-9','-9','-9','-9'
'289359910146','2','-9','-9','-9','-9','-9','-9','-9'
'289423140142','2','-9','-9','-9','-9','-9','-9','-9'
'289433580141','2','-9','-9','-9','-9','-9','-9','-9'
'289444340146','2','-9','-9','-9','-9','-9','-9','-9'
'289477730144','2','1','-9','-9','-9','-9','-9','-9'
'289482980144','2','1','1','-9','-9','-9','1','-9'
'289489980147','2','-9','-9','-9','-9','-9','-9','-9'
'289528320147','2','1','-9','-9','-9','1','-9','-9'
'289549600147','2','-9','-9','-9','-9','-9','-9','-9'
'289551380248','2','-9','-9','-9','-9','-9','-9','-9'
'289575330142','2','-9','-9','-9','-9','-9','-9','-9'
'289583230133','2','-9','-9','-9','-9','-9','-9','-9'
'289642970143','2','-9','-9','-9','-9','-9','1','-9'
'289649140146','2','-9','-9','-9','-9','-9','-9','-9'
'289650260143','2','-9','-9','-9','-9','-9','-9','-9'
'289655700146','2','1','-9','1','-9','-9','1','-9'
'289661380147','2','-9','-9','-9','-9','-9','-9','-9'
'289670980141','2','-9','-9','-9','-9','-9','-9','-9'
'289688770143','2','-9','-9','-9','-9','-9','-9','-9'
'289693570145','-8','-8','-9','-9','-9','-9','-9','-9'
'289755970140','1','-9','-9','-9','-9','-9','-9','-9'
'289768960148','2','-9','-9','-9','-9','-9','-9','-9'
'289775760247','2','-9','-9','-9','-9','-9','-9','1'
'289782560140','2','-9','-9','-9','-9','-9','-9','-9'
'289793550148','2','1','-9','-9','-9','1','-9','-9'
'289795130141','2','1','-9','-9','-9','-9','-9','-9'
'289853330146','1','-9','-9','-9','-9','-9','-9','-9'
'289892790148','2','-9','-9','-9','-9','-9','-9','-9'
'289909160143','2','-9','1','-9','-9','-9','1','-9'
'289933130140','2','1','-9','1','-9','1','-9','-9'
'289949960147','2','-9','-9','-9','-9','-9','-9','-9'
'289952760141','2','-9','-9','-9','-9','-9','-9','-9'
'290489830133','1','-9','-9','-9','-9','-9','-9','-9'
'292502730133','2','-9','-9','-9','-9','-9','-9','-9'
'292596430133','2','-9','-9','-9','-9','-9','-9','-9'
'293336230133','2','-9','-9','-9','-9','-9','-9','-9'
'294336630133','2','-9','-9','-9','-9','-9','-9','-9'
'295489930133','1','-9','-9','-9','-9','-9','1','-9'
'297502130113','2','1','-9','-9','-9','-9','-9','-9'
'297583030133','2','-9','-9','-9','-9','-9','-9','-9'
'297583430123','1','-9','-9','-9','-9','-9','-9','-9'
'298370630133','2','-9','-9','-9','-9','-9','-9','-9'
'298489830133','2','-9','-9','-9','-9','-9','-9','-9'
'299026130133','2','-9','-9','-9','-9','-9','-9','-9'
'299031930113','2','-9','-9','-9','-9','-9','-9','-9'
'299035930113','2','-9','-9','-9','-9','-9','-9','-9'
'299036920148','1','-9','-9','-9','-9','1','-9','-9'
'299036920445','2','-9','-9','-9','-9','1','1','-9'
'299040980348','2','-9','-9','-9','-9','-9','-9','-9'
'299046870246','2','-9','-9','-9','-9','-9','-9','-9'
'299092860248','2','-9','-9','-9','-9','-9','-9','-9'
'299106930113','2','-9','-9','-9','-9','-9','-9','1'
'299107869480','2','-9','-9','-9','-9','-9','-9','-9'
'299120930113','2','-9','-9','-9','-9','-9','-9','-9'
'299158820349','2','-9','-9','-9','-9','-9','1','-9'
'299186980343','2','-9','-9','-9','-9','-9','-9','-9'
'299207820349','2','1','-9','-9','-9','-9','1','-9'
'299238930123','2','-9','-9','-9','-9','-9','-9','-9'
'299260860441','2','-9','-9','-9','-9','-9','-9','-9'
'299281930244','2','-9','-9','-9','-9','-9','-9','-9'
'299325980447','2','-9','-9','-9','-9','-9','-9','-9'
'299336970846','2','-9','-9','-9','-9','-9','-9','-9'
'299369910247','2','-9','-9','-9','-9','-9','-9','-9'
'299381828788','2','-9','-9','-9','-9','-9','-9','-9'
'299384630133','2','-9','-9','-9','-9','-9','-9','-9'
'299390950445','2','-9','-9','-9','-9','-9','-9','-9'
'299408820544','2','-9','-9','-9','-9','-9','-9','-9'
'299423900344','2','-9','-9','-9','-9','-9','-9','1'
'299453950340','2','-9','-9','-9','-9','-9','-9','-9'
'299473938580','2','-9','-9','-9','-9','-9','-9','-9'
'299482830123','2','-9','-9','-9','-9','1','-9','-9'
'299491890146','1','-9','-9','-9','-9','-9','-9','-9'
'299504820444','2','-9','-9','-9','-9','-9','-9','-9'
'299560880443','2','-9','-9','-9','-9','-9','-9','-9'
'299583830133','2','-9','-9','-9','-9','-9','-9','-9'
'299583930133','2','-9','-9','-9','-9','-9','-9','-9'
'299596030133','2','-9','-9','-9','-9','-9','-9','-9'
'299596330133','2','1','-9','-9','-9','-9','-9','-9'
'299602970243','2','1','-9','-9','-9','-9','-9','-9'
'299607920140','2','-9','-9','-9','-9','-9','-9','-9'
'299625828288','2','-9','-9','-9','-9','-9','-9','-9'
'299641990343','2','1','1','1','-9','-9','-9','1'
'299650708382','2','-9','-9','-9','-9','-9','-9','-9'
'299676970346','2','-9','-9','-9','-9','-9','-9','-9'
'299717828481','2','-9','-9','-9','-9','-9','-9','-9'
'299740840441','2','-9','-9','-9','-9','-9','-9','-9'
'299783730123','2','-9','-9','-9','-9','-9','-9','-9'
'299802790147','1','-9','-9','-9','-9','-9','-9','-9'
'299807868283','2','1','-9','-9','-9','-9','-9','-9'
'299807869083','2','-9','-9','-9','-9','-9','-9','-9'
'299927890140','2','-9','-9','-9','-9','-9','-9','-9'
'299938430133','2','-9','-9','-9','-9','-9','-9','-9'
'299960840544','2','-9','-9','-9','-9','-9','-9','-9'
'299966930147','2','1','-9','-9','-9','-9','-9','-9'
'299980938586','2','-9','-9','-9','-9','-9','-9','-9'
'300013170140','2','-9','-9','-9','-9','-9','-9','-9'
'300107230103','2','-9','-9','-9','-9','-9','-9','-9'
'300118130103','2','-9','-9','-9','-9','-9','1','-9'
'300118130203','2','-9','-9','-9','-9','-9','-9','-9'
'300118130303','2','-9','-9','-9','-9','-9','-9','-9'
'300147390147','2','-9','-9','-9','-9','-9','-9','-9'
'300206730133','2','-9','-9','1','-9','-9','-9','-9'
'300264130142','2','1','-9','-9','-9','-9','-9','-9'
'300269630103','2','1','-9','-9','-9','1','-9','-9'
'300302730546','2','-9','-9','-9','-9','-9','-9','-9'
'300320160348','2','-9','-9','-9','-9','-9','-9','1'
'300333360141','2','1','-9','-9','-9','-9','-9','-9'
'300382180142','2','-9','-9','-9','-9','-9','-9','-9'
'300423160145','2','-9','-9','-9','-9','-9','-9','-9'
'300439120144','2','-9','-9','-9','-9','-9','-9','-9'
'300439380144','2','-9','-9','-9','-9','-9','-9','-9'
'300511160145','2','1','-9','-9','-9','1','-9','1'
'300515310148','2','-9','-9','-9','-9','-9','-9','-9'
'300530320148','2','1','-9','-9','-9','-9','-9','-9'
'300550130148','2','-9','-9','-9','-9','1','-9','-9'
'300553370149','2','-9','-9','-9','-9','-9','-9','-9'
'300565130103','2','-9','-9','-9','-9','-9','-9','-9'
'300604130103','2','1','1','1','-9','-9','1','1'
'300633360146','2','1','-9','1','-9','-9','-9','-9'
'300650360146','2','-9','-9','-9','-9','-9','-9','-9'
'300661230103','2','1','-9','-9','-9','-9','-9','-9'
'300693590148','2','1','-9','1','-9','-9','1','1'
'300699140144','2','-9','-9','-9','-9','-9','-9','-9'
'300711130103','2','-9','-9','-9','-9','-9','-9','-9'
'300716130147','2','-9','-9','1','-9','-9','-9','1'
'300747130133','2','-9','-9','-9','-9','-9','-9','-9'
'300795150144','2','-9','-9','-9','-9','-9','-9','-9'
'300802140241','2','-9','-9','-9','-9','-9','-9','-9'
'300824590140','2','1','1','-9','-9','-9','-9','-9'
'300839500146','2','1','-9','-9','-9','-9','-9','-9'
'300878190143','2','-9','-9','-9','-9','1','-9','-9'
'300889390148','2','-9','-9','-9','-9','-9','-9','-9'
'300901230103','1','-9','-9','-9','-9','-9','-9','-9'
'300914580142','2','-9','-9','1','-9','-9','-9','-9'
'300951230103','2','-9','-9','-9','-9','-9','-9','1'
'300954530103','2','-9','-9','-9','-9','-9','-9','-9'
'300982140142','2','-9','-9','-9','-9','-9','-9','-9'
'301169590149','2','-9','-9','-9','-9','-9','-9','-9'
'301319430103','2','-9','-9','-9','-9','-9','-9','-9'
'301321300140','2','-9','-9','-9','-9','-9','-9','-9'
'301434120145','2','-9','-9','-9','-9','-9','-9','-9'
'301438370140','2','1','1','1','-9','1','-9','-9'
'301649190242','2','-9','-9','-9','-9','-9','-9','-9'
'301653320141','2','-9','-9','-9','-9','-9','-9','-9'
'301670920141','1','-9','-9','-9','-9','-9','-9','-9'
'301839370143','2','1','1','-9','-9','-9','1','1'
'301987900145','2','-9','-9','-9','-9','-9','-9','-9'
'302358540147','2','-9','-9','-9','-9','-9','-9','-9'
'302502030133','2','-9','-9','-9','-9','-9','-9','-9'
'302618750144','2','-9','-9','-9','-9','-9','-9','-9'
'302790970141','2','-9','-9','-9','-9','-9','-9','-9'
'304733340149','2','-9','-9','-9','-9','-9','-9','-9'
'305512560146','2','1','-9','-9','-9','-9','1','-9'
'306459760144','2','-9','-9','-9','-9','-9','-9','-9'
'306517790145','2','-9','-9','-9','-9','-9','-9','-9'
'306929590143','2','-9','-9','-9','-9','-9','-9','-9'
'329048730113','2','1','-9','-9','-9','-9','-9','-9'
'329124930113','2','-9','-9','-9','-9','-9','-9','-9'
'329303930113','1','-9','-9','-9','-9','-9','-9','-9'
'329515980145','1','-9','-9','-9','-9','-9','1','-9'
'329641930113','1','1','-9','-9','-9','-9','-9','-9'
'329807830113','2','-9','-9','-9','-9','-9','-9','-9'
'329894450140','2','-9','-9','-9','-9','-9','-9','-9'
'341853770148','2','-9','-9','-9','-9','-9','-9','-9'
'341853930148','2','-9','-9','-9','-9','-9','-9','-9'
'342711540144','2','-9','-9','-9','-9','-9','-9','-9'
'342853790145','2','1','-9','1','-9','-9','-9','1'
'343711150141','2','-9','-9','-9','-9','-9','-9','-9'
'344853170148','2','-9','-9','-9','-9','-9','-9','-9'
'346711380141','2','-9','-9','-9','-9','-9','-9','-9'
'347929960149','2','-9','-9','-9','-9','-9','-9','-9'
'350502530133','2','-9','-9','-9','-9','-9','-9','-9'
'351502630133','2','-9','-9','-9','-9','-9','-9','-9'
'352711960141','2','-9','-9','-9','-9','-9','-9','-9'
'353711570147','2','-9','-9','-9','-9','-9','-9','-9'
'359853350148','2','-9','-9','-9','-9','-9','-9','-9'
'361502130133','2','-9','-9','-9','-9','-9','-9','-9'
'362502230133','2','-9','-9','-9','-9','-9','-9','-9'
'363037760146','2','-9','-9','-9','-9','-9','-9','-9'
'363502530133','2','-9','-9','-9','-9','-9','-9','-9'
'363596830149','2','-9','-9','-9','-9','-9','-9','-9'
'364288040144','2','-9','-9','-9','-9','-9','-9','-9'
'364596440146','2','-9','-9','1','-9','-9','1','-9'
'365037970149','2','-9','-9','-9','-9','-9','-9','-9'
'365494120141','2','1','-9','-9','-9','-9','-9','-9'
'366579330145','2','1','-9','1','-9','-9','-9','-9'
'367579350142','2','-9','-9','-9','-9','-9','-9','-9'
'368502740143','2','-9','-9','-9','-9','-9','-9','-9'
'369037130146','2','-9','-9','-9','-9','-9','-9','-9'
'369129340343','2','-9','-9','-9','-9','-9','1','-9'
'370579970142','2','-9','-9','-9','-9','-9','-9','-9'
'370583530133','2','-9','-9','-9','-9','1','-9','-9'
'371288650141','2','-9','-9','-9','-9','-9','-9','-9'
'371550050142','2','-9','-9','-9','-9','-9','-9','-9'
'371596240240','1','-9','-9','-9','-9','-9','-9','-9'
'372037910146','2','-9','-9','-9','-9','-9','-9','-9'
'373258240147','2','-9','-9','-9','-9','-9','-9','-9'
'373258650147','1','-9','-9','-9','-9','-9','-9','-9'
'373500720142','2','-9','-9','-9','-9','-9','-9','-9'
'373579110142','2','1','-9','-9','-9','-9','-9','-9'
'373583530133','2','-9','-9','-9','-9','-9','-9','-9'
'373926590145','2','-9','-9','-9','-9','-9','-9','-9'
'374500180148','2','-7','-9','-9','-9','-9','-9','-9'
'374583930133','2','-9','-9','-9','-9','-9','-9','-9'
'374926100142','2','1','-9','-9','-9','-9','-9','1'
'375238100140','2','-9','-9','-9','-9','-9','-9','-9'
'375502130133','2','-9','-9','-9','1','1','-9','-9'
'375502430133','2','-9','-9','-9','-9','-9','-9','-9'
'375502790149','2','-9','-9','-9','-9','-9','1','-9'
'376281940148','2','-9','-9','-9','-9','1','-9','-9'
'376502930133','2','-9','-9','-9','-9','-9','-9','-9'
'376926560145','2','-9','-9','-9','-9','-9','-9','-9'
'377273550144','2','-9','-9','-9','-9','-9','-9','-9'
'377281960145','1','-9','-9','-9','-9','-9','-9','-9'
'377319750146','2','-9','-9','-9','-9','-9','-9','-9'
'377336010143','2','-9','-9','-9','-9','-9','-9','-9'
'377828060140','2','-9','-9','-9','-9','-9','-9','-9'
'378141740142','2','-9','-9','-9','-9','-9','-9','-9'
'378206310146','2','1','-9','-9','-9','-9','-9','-9'
'378258660141','2','-9','-9','-9','-9','-9','-9','-9'
'378273320141','2','-9','-9','-9','-9','-9','-9','-9'
'378358790147','2','-9','-9','-9','-9','-9','-9','-9'
'378583230133','2','-9','-9','-9','-9','1','-9','1'
'378788790249','2','-9','-9','1','-9','-9','-9','-9'
'378873230148','1','1','-9','-9','-9','-9','-9','-9'
'378954730146','2','-9','-9','-9','-9','-9','-9','-9'
'379196820144','2','1','1','-9','-9','1','-9','-9'
'379261740149','2','1','-9','-9','-9','1','-9','-9'
'379319130149','2','-9','-9','-9','-9','-9','-9','-9'
'379357780347','2','1','-9','1','-9','-9','-9','-9'
'379515520148','1','-9','-9','-9','-9','-9','-9','-9'
'379873250145','2','-9','-9','-9','-9','1','-9','-9'
'379939340145','2','-9','-9','-9','-9','-9','-9','-9'
'380015580141','2','-9','-9','-9','-9','-9','-9','-9'
'380053960143','2','-9','-9','-9','-9','-9','-9','-9'
'380258850144','2','1','-9','-9','-9','-9','-9','-9'
'380389500143','2','-9','-9','-9','-9','1','-9','-9'
'380452700149','2','-9','-9','-9','-9','-9','1','-9'
'380482740140','2','-9','-9','-9','-9','-9','-9','-9'
'380583330133','2','-9','-9','-9','-9','1','-9','-9'
'380778770148','2','-9','-9','-9','-9','-9','-9','-9'
'380963910146','2','-9','-9','-9','-9','-9','-9','-9'
'381053980140','2','-9','-9','-9','-9','-9','-9','-9'
'381408900146','2','-9','-9','-9','-9','-9','-9','-9'
'381733280143','2','1','1','1','-9','-9','1','-9'
'381818370142','2','-9','-9','-9','-9','-9','-9','-9'
'381822130144','2','-9','-9','-9','-9','-9','-9','-9'
'381848380147','1','1','1','-9','-9','-9','1','-9'
'382005330147','2','-9','-9','-9','-9','-9','-9','-9'
'382550890148','2','-9','-9','-9','-9','-9','-9','-9'
'382583630133','2','-9','-9','-9','-9','-9','-9','-9'
'382638130147','2','-9','-9','-9','-9','-9','-9','-9'
'382749180143','2','-9','-9','-9','-9','-9','-9','-9'
'382806540145','1','1','-9','1','-9','1','-9','1'
'383206150149','2','-7','-9','-9','-9','-9','-9','-9'
'383583130133','2','-9','-9','-9','-9','-9','-9','-9'
'383589230141','2','-9','-9','-9','-9','-9','-9','-9'
'383746050148','2','-9','-9','-9','-9','-9','-9','-9'
'383788790143','2','-9','-9','-9','-9','-9','-9','-9'
'384037550146','2','-9','-9','-9','-9','-9','-9','-9'
'384067470147','2','-9','-9','-9','-9','-9','-9','-9'
'384206170146','2','-9','-9','-9','-9','-9','-9','-9'
'384346880147','2','1','1','-9','-9','1','-9','1'
'384408220146','2','-9','-9','-9','-9','-9','-9','-9'
'384443530142','2','-9','-9','-9','-9','-9','1','-9'
'384591230142','2','-9','-9','-9','-9','-9','-9','-9'
'384788560149','2','-9','-9','-9','-9','-9','-9','-9'
'384809540145','2','-9','-9','-9','-9','-9','-9','-9'
'384939340148','2','-9','-9','-9','-9','-9','-9','-9'
'385052970149','2','-9','-9','-9','-9','-9','-9','-9'
'385125250142','2','-9','-9','-9','-9','-9','-9','-9'
'385303700145','2','-9','-9','-9','-9','-9','-9','-9'
'385408400143','2','-9','-9','-9','-9','-9','1','-9'
'385468810143','2','-9','-9','-9','-9','-9','-9','-9'
'385482350143','2','-9','-9','-9','-9','-9','-9','-9'
'385687300246','2','1','-9','-9','-9','-9','-9','-9'
'385763790143','2','-9','-9','-9','-9','-9','-9','-9'
'385809130141','2','-9','-9','-9','-9','1','-9','-9'
'385926610147','2','1','-9','-9','-9','-9','-9','-9'
'385941740143','2','-9','-9','-9','-9','-9','-9','-9'
'385941900143','2','-9','-9','-9','-9','-9','-9','-9'
'386050180141','2','-9','-9','-9','-9','-9','-9','-9'
'386050590141','2','-9','-9','-9','-9','-9','-9','-9'
'386052730146','2','-9','-9','-9','-9','-9','-9','-9'
'386169730149','2','-9','-9','-9','-9','-9','-9','-9'
'386504770140','2','-9','-9','-9','-9','-9','-9','-9'
'386532160141','2','-9','-9','-9','-9','-9','-9','-9'
'386653970141','1','1','-9','1','-9','1','-9','-9'
'386730390144','2','-9','-9','1','-9','-9','1','1'
'386733040146','1','1','1','-9','-9','-9','-9','1'
'386846180145','2','-9','-9','-9','-9','-9','-9','-9'
'386850300149','2','-9','-9','-9','-9','-9','-9','-9'
'386941510149','2','-9','-9','-9','-9','-9','-9','-9'
'387081460147','2','-9','-9','-9','-9','-9','-9','-9'
'387173320146','2','-9','-9','-9','-9','-9','-9','-9'
'387196920143','2','-9','-9','-9','-9','-9','-9','-9'
'387269140146','2','1','1','-9','1','1','1','1'
'387349510148','2','-9','-9','-9','-9','-9','-9','1'
'387489630133','1','-9','-9','1','-9','1','-9','-9'
'387502730133','2','-9','-9','-9','-9','-9','-9','-9'
'387619940147','2','-9','-9','-9','-9','1','-9','-9'
'387664740149','2','-9','-9','-9','-9','-9','-9','-9'
'387681340145','2','-9','-9','-9','-9','-9','-9','-9'
