control,ownhere,JWNHER
'100007130148','1','-9'
'100007390148','1','-9'
'100008700141','1','-9'
'100009170148','2','-9'
'100013330103','1','-9'
'100014110140','2','-9'
'100014130103','2','-9'
'100026130103','2','2'
'100032140147','2','-9'
'100052130241','-6','-9'
'100056230303','2','-9'
'100059740145','-6','-9'
'100069100140','2','-9'
'100069100249','2','-9'
'100072330103','-6','-9'
'100072430103','2','-9'
'100074130103','-6','-9'
'100077230103','2','-9'
'100078300246','2','-9'
'100092130103','-6','-9'
'100094500143','2','-9'
'100102770145','1','-9'
'100105130103','2','-9'
'100107150146','2','-9'
'100107530103','-6','-9'
'100107560146','2','-9'
'100107710246','2','-9'
'100107730103','2','-9'
'100107930103','2','-9'
'100118120146','2','-9'
'100118130103','-6','-9'
'100120130145','2','-9'
'100126330103','2','-9'
'100140130103','-6','-9'
'100141230103','2','-9'
'100147150147','-6','-9'
'100152540147','2','-9'
'100168130147','2','-9'
'100169130103','-6','-9'
'100173330103','2','-9'
'100173430103','1','-9'
'100181100149','1','-9'
'100181330103','-6','-9'
'100196960144','2','-9'
'100202130103','-6','-9'
'100202230103','-6','-9'
'100202570147','2','-9'
'100206130103','1','-9'
'100206390143','2','-9'
'100207110146','2','-9'
'100216130103','-6','-9'
'100216230103','2','2'
'100218130103','-6','-9'
'100218140140','-6','-9'
'100218550140','1','-9'
'100220120247','2','-9'
'100223120147','2','-9'
'100223120444','2','-9'
'100225130103','-6','-9'
'100225230103','-6','-9'
'100226720141','-6','-9'
'100229150145','1','-9'
'100229560145','1','2'
'100231700142','2','-9'
'100231700548','2','-9'
'100234740148','2','-9'
'100236130148','2','-9'
'100243230103','-6','-9'
'100246330203','-6','-9'
'100247590149','1','-9'
'100247900140','2','-9'
'100250130103','-6','-9'
'100257130103','1','-9'
'100260380142','-6','-9'
'100261430103','-6','-9'
'100261530103','2','-9'
'100261630103','-6','-9'
'100261960149','1','-9'
'100267950144','2','-9'
'100269130143','1','-9'
'100269330103','2','-9'
'100269540143','1','-9'
'100269730103','2','-9'
'100269830103','-6','-9'
'100270180146','2','-9'
'100273130103','-6','-9'
'100273140140','2','-9'
'100273300140','1','-9'
'100277380142','-6','-9'
'100282360141','-6','-9'
'100284110140','2','-9'
'100293380147','1','2'
'100294130103','-6','-9'
'100294390146','1','-9'
'100294430103','2','2'
'100295230103','1','-9'
'100295330103','-6','-9'
'100295730103','-6','-9'
'100295930103','-6','-9'
'100295990140','1','-9'
'100298120246','2','-9'
'100298120543','2','-9'
'100299130103','-6','-9'
'100299530103','2','-9'
'100299830103','2','-9'
'100303370149','-6','-9'
'100303520149','2','-9'
'100306130103','1','2'
'100306190149','1','-9'
'100306500149','2','-9'
'100306750140','2','2'
'100306910140','2','-9'
'100311130103','2','-9'
'100313130103','-6','-9'
'100317130103','2','-9'
'100317230303','2','2'
'100319130103','-6','-9'
'100319190149','1','-9'
'100319430103','2','-9'
'100319630103','1','-9'
'100321140143','2','-9'
'100321300143','-6','-9'
'100321530103','-6','-9'
'100321630103','1','-9'
'100328180141','2','-9'
'100336430303','-6','-9'
'100339330203','1','-9'
'100339430103','2','-9'
'100341230103','2','-9'
'100355130143','2','-9'
'100355560147','2','-9'
'100356130103','2','-9'
'100356160148','2','-9'
'100358930144','1','-9'
'100363700340','2','-9'
'100365530140','2','2'
'100369130103','1','-9'
'100374170146','2','-9'
'100375950147','1','-9'
'100377130103','-6','-9'
'100380120149','1','-9'
'100380230103','1','-9'
'100380780140','2','-9'
'100380780249','2','-9'
'100381110145','2','-9'
'100382100142','2','-9'
'100384430103','-6','-9'
'100384720143','1','-9'
'100386130103','-6','-9'
'100389430103','1','-9'
'100389830103','-6','-9'
'100389930103','1','-9'
'100407720144','-6','-9'
'100407980144','1','-9'
'100408230103','1','-9'
'100408430133','2','-9'
'100410230103','2','2'
'100410430103','-6','-9'
'100410530143','2','-9'
'100410630103','-6','-9'
'100411320147','2','-9'
'100411570147','2','-9'
'100423180145','1','-9'
'100423590145','1','-9'
'100425230103','-6','-9'
'100426130103','-6','-9'
'100438130103','2','-9'
'100439130103','2','-9'
'100447330103','2','-9'
'100447530103','-6','-9'
'100447630203','2','-9'
'100450560245','-6','-9'
'100451120141','2','2'
'100452230103','2','-9'
'100452430103','2','-9'
'100452590143','2','-9'
'100468230103','2','-9'
'100477230103','-6','-9'
'100477430103','-6','-9'
'100483730143','2','-9'
'100485140147','2','2'
'100485300147','2','-9'
'100492150148','2','-9'
'100492310148','2','-9'
'100494530103','2','-9'
'100494710149','2','-9'
'100497130103','-6','-9'
'100497940144','1','-9'
'100506120345','2','-9'
'100508130103','-6','-9'
'100511340145','-6','-9'
'100512330103','-6','-9'
'100527910141','1','-9'
'100529110140','2','-9'
'100529630103','-6','-9'
'100534390140','-6','-9'
'100536710147','2','-9'
'100538330103','-6','-9'
'100542530145','2','-9'
'100546780147','2','-9'
'100548140148','2','-9'
'100548550148','-6','-9'
'100553230103','-6','-9'
'100558540148','2','-9'
'100559230402','2','2'
'100566340146','2','-9'
'100574940146','1','2'
'100575110145','1','-9'
'100575170140','-6','-9'
'100596350146','2','2'
'100596500146','1','-9'
'100596630103','2','2'
'100600130103','1','-9'
'100602350144','2','-9'
'100604130103','1','-9'
'100611710144','1','-9'
'100611970144','-6','-9'
'100617330103','1','-9'
'100618140145','1','2'
'100619130103','1','-9'
'100622230103','-6','-9'
'100623330103','-6','-9'
'100623530103','-6','-9'
'100629960141','2','-9'
'100633120146','2','2'
'100633130103','2','-9'
'100633430103','2','-9'
'100635430103','-6','-9'
'100635550140','2','-9'
'100638570145','1','-9'
'100645150144','1','-9'
'100650130103','2','-9'
'100650300147','-6','-9'
'100650580145','2','-9'
'100651390145','2','-9'
'100653160144','1','-9'
'100653370146','2','-9'
'100654370146','2','-9'
'100655330103','1','-9'
'100656720145','-6','-9'
'100657230103','1','-9'
'100661130103','-6','-9'
'100662340141','-6','-9'
'100664130103','1','-9'
'100664230103','2','-9'
'100664730146','2','-9'
'100669720149','1','2'
'100671180142','2','-9'
'100679140145','1','-9'
'100683140147','1','-9'
'100686160147','-6','-9'
'100687130103','-6','-9'
'100687330103','1','-9'
'100687530103','2','-9'
'100691130103','1','-9'
'100693510148','2','-9'
'100697180144','2','-9'
'100697340144','2','-9'
'100700130103','2','2'
'100700230103','2','-9'
'100700330103','-6','-9'
'100705130204','1','-9'
'100713130103','-6','-9'
'100714130103','-6','-9'
'100716150147','2','-9'
'100717920148','2','2'
'100727330103','-6','-9'
'100730170149','1','-9'
'100733230103','2','-9'
'100733630103','2','-9'
'100733780144','-6','-9'
'100743390145','2','-9'
'100755130103','-6','-9'
'100755430103','-6','-9'
'100755730103','-6','-9'
'100755910143','2','-9'
'100767560149','2','-9'
'100772900142','-6','-9'
'100778130103','-6','-9'
'100778150142','2','-9'
'100782190143','2','2'
'100783130103','1','-9'
'100783510146','1','-9'
'100790790147','2','-9'
'100791380146','-6','-9'
'100792930147','1','-9'
'100795170144','-6','-9'
'100795580144','-6','-9'
'100799150149','2','2'
'100800230103','2','-9'
'100802130103','2','-9'
'100805130103','-6','-9'
'100805230103','-6','-9'
'100805530146','2','-9'
'100809190142','-6','-9'
'100809730146','2','2'
'100809730202','2','-9'
'100814140143','2','-9'
'100828330103','2','-9'
'100828530103','-6','-9'
'100834100141','2','2'
'100834360141','-6','-9'
'100837130140','2','-9'
'100839630103','-6','-9'
'100845140147','2','-9'
'100848130103','2','-9'
'100848360149','2','-9'
'100849380143','2','-9'
'100850230203','1','-9'
'100850230303','1','-9'
'100850230403','1','-9'
'100850230503','1','-9'
'100854320145','-6','-9'
'100855940143','2','-9'
'100871160148','2','-9'
'100871550143','2','-9'
'100871570148','-6','-9'
'100873130145','2','2'
'100878370143','-6','-9'
'100882430103','-6','-9'
'100883140141','2','-9'
'100883700241','2','-9'
'100889150148','-6','-9'
'100889310148','2','-9'
'100894130103','-6','-9'
'100898130103','-6','-9'
'100907390246','1','-9'
'100907530103','2','-9'
'100907630103','1','2'
'100908130103','-6','-9'
'100909360146','2','-9'
'100910730103','2','-9'
'100914500142','2','-9'
'100918230103','-6','-9'
'100927130103','-6','-9'
'100927330103','1','-9'
'100927430103','2','-9'
'100927730103','2','-9'
'100929130103','1','-9'
'100929330103','2','-9'
'100937130103','-6','-9'
'100938130133','2','-9'
'100941520143','-6','-9'
'100946130103','2','-9'
'100946130203','2','-9'
'100948330145','2','-9'
'100950430103','-6','-9'
'100951130103','-6','-9'
'100951510147','1','2'
'100954230103','-6','-9'
'100954530133','2','2'
'100962130103','2','-9'
'100963430103','1','-9'
'100970540140','-6','-9'
'100988100140','2','-9'
'100988230103','-6','-9'
'100992730148','2','-9'
'101008160147','-6','-9'
'101029030103','2','-9'
'101037530203','-6','-9'
'101045140148','2','-9'
'101086140141','-6','-9'
'101107030103','2','-9'
'101129580149','1','-9'
'101129990140','-6','-9'
'101150100145','-6','-9'
'101168150143','-6','-9'
'101169920140','1','2'
'101196980141','-6','-9'
'101216140249','2','-9'
'101238980146','2','-9'
'101261230103','2','-9'
'101261230203','1','2'
'101261430103','-6','-9'
'101261730103','-6','-9'
'101261980146','-6','-9'
'101267970141','2','-9'
'101281160147','2','-9'
'101283120141','-6','-9'
'101295350146','1','-9'
'101295500146','-6','-9'
'101302520146','2','2'
'101303190142','1','-9'
'101306110146','-6','-9'
'101306370146','2','-9'
'101319030103','2','-9'
'101319330103','2','-9'
'101319930246','1','-9'
'101356590145','2','2'
'101358790141','1','2'
'101379100144','1','2'
'101379360144','1','2'
'101380140146','2','2'
'101389430103','1','-9'
'101389630103','-6','-9'
'101408530140','-6','-9'
'101410030103','-6','-9'
'101410140140','2','-9'
'101410300140','1','2'
'101410530103','-6','-9'
'101416180141','-6','-9'
'101423360142','2','-9'
'101430990141','2','-9'
'101431550140','-6','-9'
'101433330240','2','-9'
'101433330349','2','-9'
'101447960146','-6','-9'
'101482140240','2','2'
'101483190149','2','-9'
'101492170145','1','-9'
'101493560147','1','-9'
'101497960141','2','-9'
'101502330133','1','-9'
'101530510145','2','-9'
'101536730144','2','-9'
'101553310146','1','-9'
'101583530133','-6','-9'
'101583630133','-6','-9'
'101593580242','-6','-9'
'101596130133','2','2'
'101596330133','2','-9'
'101596630103','2','-9'
'101600130146','2','-9'
'101618910147','2','-9'
'101622770147','1','2'
'101650500142','2','-9'
'101655920146','2','-9'
'101664910143','2','2'
'101670940141','2','-9'
'101714960141','-6','-9'
'101818970148','1','-9'
'101828930147','1','-9'
'101839540143','2','-9'
'101845190245','1','-9'
'101850170140','1','2'
'101889170145','2','2'
'101910520149','1','-9'
'101910930140','1','-9'
'101932380148','2','-9'
'101941540249','1','-9'
'101961190146','1','-9'
'101969120147','2','-9'
'101969530147','1','-9'
'102051580341','2','2'
'102089780147','1','-9'
'102107190140','2','-9'
'102169380146','1','-9'
'102196340147','2','-9'
'102250750141','1','-9'
'102250910141','2','2'
'102261900143','1','-9'
'102295370143','1','-9'
'102358150147','1','-9'
'102389990143','2','-9'
'102517720148','1','-9'
'102548590142','2','2'
'102553580143','2','-9'
'102558330142','2','-9'
'102577790144','2','2'
'102579700148','-6','-9'
'102641310345','1','-9'
'102641710148','2','-9'
'102711930147','1','-9'
'102790730141','2','-9'
'102809760147','2','-9'
'102818730145','2','-9'
'102910390146','1','-9'
'102927120149','2','-9'
'102929520146','1','-9'
'102944190140','1','-9'
'102944350140','1','-9'
'102974580144','2','-9'
'103045180142','2','-9'
'103169140143','2','-9'
'103196510144','2','2'
'103238100149','1','-9'
'103238920140','2','-9'
'103250110147','2','-9'
'103261360149','1','-9'
'103261510149','-6','-9'
'103358580144','1','-9'
'103383930144','1','2'
'103389190149','-6','-9'
'103389750140','2','2'
'103493190141','1','-9'
'103494520149','2','-9'
'103512120143','-6','-9'
'103579980145','2','-9'
'103641730145','1','-9'
'103670570144','1','-9'
'103711790144','1','-9'
'103751180145','-6','-9'
'103818910142','1','-9'
'103929390143','2','-9'
'104005710147','1','-9'
'104089720141','-6','-9'
'104248780142','2','-9'
'104258790147','1','-9'
'104261120146','1','-9'
'104261380146','1','-9'
'104267370141','-6','-9'
'104389520146','2','-9'
'104482760143','-6','-9'
'104512300140','2','2'
'104579740142','1','-9'
'104589770144','2','-9'
'104638770147','2','-9'
'104670340141','2','-9'
'104670590141','2','-9'
'104711970141','1','-9'
'104809700141','-6','-9'
'104818370148','1','-9'
'104846730148','-6','-9'
'104963770149','2','-9'
'105029530143','2','-9'
'105261970143','2','-9'
'105383980147','2','-9'
'105389550340','2','2'
'105389550449','2','-9'
'105389700143','2','-9'
'105389960143','-6','-9'
'105434130142','-6','-9'
'105434540142','2','2'
'105494900141','1','2'
'105497130147','2','-9'
'105502590140','-6','-9'
'105515590142','-6','-9'
'105517950148','-6','-9'
'105548150142','2','-9'
'105558140142','2','-9'
'105558550142','1','-9'
'105638550241','1','2'
'105670520147','1','-9'
'105828140149','2','-9'
'105929340146','1','-9'
'106267320144','2','-9'
'106389320149','2','-9'
'106494360147','2','2'
'106579790145','-6','-9'
'106670390144','2','-9'
'106670540144','2','-9'
'106687360149','2','-9'
'106755380143','2','-9'
'106828320146','2','-9'
'107129100140','1','-9'
