control,XINUS,XPER,XCOND,XCOOP,XCOST,XHEAD,XREL,XTEN,XUNIT,RMOV,MOVGRP,jovgrp,jxten,jxunit,jxper,jxhead
'185962780148','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'185963610149','-9',4,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'186045950148','-9',4,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'186103750149','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186141730145','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186155280145','-9',2,'3','-6','1','1','-6','1','3',1,'1','-9','-9','-9','-9','-9'
'186169910149','-9',3,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186229980142','-9',1,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','1'
'186258570144','-9',1,'-9','-6','-9','1','-6','2','-9',-9,'1','1','1','-9','1','1'
'186273310144','-9',5,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'186273560144','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'186282370147','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'186282520147','-9',3,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186295740146','-9',1,'4','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186303740142','-9',4,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'186321560149','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'186321970140','-9',7,'3','-6','2','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'186336530133','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'186349760142','-9',5,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'186358610644','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186379420144','-9',1,'2','-6','1','1','-6','1','2',1,'1','-9','-9','-9','-9','1'
'186384990149','-9',3,'2','-6','1','1','-6','1','2',1,'1','-9','-9','-9','-9','-9'
'186401570141','-9',1,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'186421120144','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186421530144','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186425580140','-9',6,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'186425580140','-9',-6,'-6','-6','-6','-6','-6','-6','4',2,'2','-9','-9','-9','1','1'
'186433120145','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186468110149','-9',4,'3','-6','3','1','-6','3','2',1,'1','-9','-9','-9','-9','-9'
'186468520149','-9',4,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186468930140','-9',3,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'186502130133','-9',4,'2','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'186502830133','-9',3,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'186548970145','-9',1,'-9','-6','-9','1','-6','2','-9',-9,'1','1','1','-9','1','1'
'186553700146','-9',6,'3','-6','3','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'186553700146','-9',3,'3','-6','3','1','-6','2','1',2,'2','-9','-9','-9','-9','-9'
'186558700145','-9',3,'2','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'186589300141','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186589360145','-9',4,'2','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186593160142','-9',3,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186641050148','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'186649050144','-9',6,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186653990141','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186671500148','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186674190144','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186674500144','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186681340148','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186694520142','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186721160148','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186721320148','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186730150144','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'186730310144','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186763170149','-9',4,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'186775110145','-9',1,'2','-6','1','1','-6','3','2',1,'1','-9','-9','-9','-9','1'
'186806140142','-9',3,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'186806140142','-9',-7,'-7','-6','4','1','-6','2','-7',2,'2','-9','1','-9','-9','-9'
'186846100145','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186850160149','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186853940146','-9',2,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'186873700142','-9',2,'4','-6','4','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186890390147','-9',5,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'186895750141','-9',3,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'186903580148','-9',2,'4','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'186910920149','-9',2,'3','-6','2','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'186910920149','-9',2,'3','-6','1','2','1','1','3',2,'2','-9','-9','-9','-9','-9'
'186926340142','-9',5,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'186932770148','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186941610149','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'186941610446','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'186941610743','-9',1,'4','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'186941860140','-9',2,'4','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'186961740146','-9',3,'3','-6','1','-7','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'186997140144','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'187029960143','-9',4,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187067950147','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187081710147','-9',1,'4','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'187081970147','-9',2,'3','-6','2','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'187121110145','-9',1,'3','-6','1','1','-6','2','3',1,'1','-9','-9','-9','-9','1'
'187129740146','-9',2,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'187129740146','-9',4,'3','-6','1','2','1','1','1',2,'2','-9','-9','-9','-9','-9'
'187144950143','-9',5,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','1','-9'
'187155610142','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'187155610142','-9',4,'3','-6','3','2','2','3','2',2,'2','-9','-9','-9','-9','-9'
'187185850147','-9',3,'4','-6','4','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'187192160248','-9',1,'-9','-6','-9','1','-6','1','1',-9,'1','1','1','1','1','1'
'187206160146','-9',4,'-8','-6','3','-8','-6','2','1',1,'1','-9','1','-9','-9','-9'
'187206320146','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'187206730133','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187218330143','-9',2,'3','-6','3','2','1','2','1',1,'1','-9','-9','-9','-9','-9'
'187218580143','-9',1,'2','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'187220310141','-9',6,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187220560141','-9',2,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187226720146','-9',4,'3','-6','1','2','2','3','1',1,'1','-9','-9','-9','-9','-9'
'187226980146','-9',4,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'187246450145','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'187261110147','-9',2,'3','-6','3','-9','-6','2','2',1,'1','-9','-9','-9','1','-9'
'187269570146','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'187273330143','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'187273330143','-9',4,'3','-6','1','2','1','1','1',2,'2','-9','-9','-9','-9','-9'
'187281730142','-9',3,'3','-6','2','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'187281730144','-9',5,'3','-6','3','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'187281730144','-9',5,'3','-6','3','2','2','2','2',2,'2','-9','-9','-9','-9','-9'
'187281730144','1',-6,'-6','-6','-6','-6','-6','-6','-6',3,'3','-9','-9','-9','1','1'
'187282130144','-9',5,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187282540144','-9',3,'4','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187284550143','-9',1,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'187294570149','-9',2,'4','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187295760143','-9',3,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187297520149','-9',2,'3','-6','1','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'187297930140','-9',4,'3','-6','2','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'187302780143','-9',4,'3','-6','4','2','2','3','1',1,'1','-9','-9','-9','-9','-9'
'187302940143','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187303360148','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'187303510148','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187309750148','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187321510142','-9',2,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187328600144','-9',-8,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'187349530148','-9',3,'3','-6','2','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'187376960145','-9',7,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187382540145','-9',5,'4','-6','2','2','1','2','2',1,'1','-9','-9','-9','-9','-9'
'187384910146','-9',4,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'187391080148','-9',5,'3','-6','1','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'187404560146','-9',-8,'3','-6','-8','-8','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187407910147','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187408540146','-9',5,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187410310146','-9',5,'3','-6','4','2','2','2','1',1,'1','-9','-9','-9','-9','-9'
'187421300141','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'187421550141','-9',2,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187430740147','-9',1,'4','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'187433140142','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'187433300142','-9',4,'3','-6','3','2','1','2','2',1,'1','-9','-9','-9','-9','-9'
'187433300142','-9',6,'3','-6','3','2','1','3','2',2,'2','-9','-9','-9','-9','-9'
'187434710142','-9',5,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187434970142','-9',-8,'3','-6','-7','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187440930143','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187452850246','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187468390146','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'187472930145','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187474950146','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187489830133','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'187502130133','-9',4,'3','-6','3','2','2','1','2',1,'1','-9','-9','-9','-9','-9'
'187502510149','-9',4,'2','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187502630133','-9',5,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'187504150146','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'187504310146','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187504310146','-9',1,'3','-6','2','1','-6','2','2',2,'2','-9','-9','-9','-9','1'
'187508940141','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187550900142','-9',3,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187553720143','-9',1,'2','-6','1','1','-6','1','2',1,'1','-9','-9','-9','-9','1'
'187574970149','-9',3,'2','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'187583930133','-9',2,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187596530133','-9',5,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'187596530133','-9',5,'3','-6','1','2','1','1','1',2,'2','-9','-9','-9','-9','-9'
'187596530133','-9',7,'3','-6','1','2','1','1','1',3,'3','-9','-9','-9','-9','-9'
'187603190141','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','1'
'187603190141','-9',-6,'-6','-6','-6','-6','-6','-6','4',2,'2','-9','-9','-9','1','-9'
'187629730144','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187629990144','-9',3,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'187650360148','-9',2,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187664760149','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'187671520145','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187674110141','-9',4,'3','-6','3','1','-6','3','2',1,'1','-9','-9','-9','1','-9'
'187757060141','-9',5,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187778180145','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187788300149','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'187809120145','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','1'
'187809920149','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'187812570142','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187839300149','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187839960140','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'187846530142','-9',8,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'187879960142','-9',-7,'-7','-6','-7','-7','-6','2','-7',1,'1','-9','1','-9','-9','-9'
'187890150144','-9',7,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187898890144','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187913300142','-9',4,'-9','-6','-9','-9','-6','2','-9',-9,'1','1','1','-9','1','-9'
'187914380145','-9',-8,'3','-6','-8','2','-8','2','-8',1,'1','-9','-9','-9','-9','-9'
'187926590141','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187927770149','-9',3,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187946570145','-9',4,'3','-6','2','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'187950970146','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187951790141','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'187954410146','-9',3,'3','-6','1','2','1','3','1',1,'1','-9','-9','-9','-9','-9'
'187954410146','-9',3,'3','-6','1','2','1','3','1',2,'2','-9','-9','-9','-9','-9'
'187958970144','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187961920143','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'187997570141','-9',3,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'187997570141','-9',2,'3','-6','3','1','-6','2','1',2,'2','-9','-9','-9','-9','-9'
'188028530140','-9',4,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'188029700148','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'188031970145','-9',4,'3','-6','3','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'188032500147','-9',2,'3','-6','1','2','1','2','3',1,'1','-9','-9','-9','-9','-9'
'188040970140','-9',5,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'188040970140','-9',5,'3','-6','1','1','-6','1','1',2,'2','-9','-9','-9','-9','-9'
'188052390149','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'188052390149','-9',2,'3','-6','3','2','2','2','1',2,'2','-9','-9','-9','-9','-9'
'188052790140','-9',5,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'188057750141','-9',2,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'188065670143','-9',3,'3','-6','3','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'188074970141','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188081990144','-9',3,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188092160646','-9',2,'3','-6','1','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'188092760145','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188102980145','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'188102980145','-9',1,'3','-6','3','1','-6','2','2',2,'2','-9','-9','-9','-9','1'
'188103900144','-9',6,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'188112950147','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'188116680341','-9',-8,'3','-6','-8','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188121630141','-9',2,'-9','-6','-9','-9','-6','1','1',-9,'1','1','1','1','1','-9'
'188136320141','-9',4,'3','-6','1','1','-6','3','1',1,'1','-9','-9','-9','-9','-9'
'188138120149','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'188138380149','-9',3,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'188138530149','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188138530149','-9',1,'3','-6','2','1','-6','2','2',2,'2','-9','-9','-9','-9','1'
'188138780140','-9',2,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'188151970142','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'188157970141','-9',3,'3','-6','1','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'188162970145','-9',4,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'188168340146','-9',3,'-9','-6','-9','-9','-6','3','-9',-9,'1','1','1','-9','1','-9'
'188173360143','-9',1,'-9','-6','-9','1','-6','2','-9',-9,'1','1','1','-9','1','1'
'188176970146','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'188176970146','-9',1,'3','-6','1','1','-6','2','2',2,'2','-9','-9','-9','-9','1'
'188185950144','-9',4,'3','-6','1','2','2','3','1',1,'1','-9','-9','-9','-9','-9'
'188185950144','-9',6,'3','-6','1','2','2','3','1',2,'2','-9','-9','-9','-9','-9'
'188188110142','-9',2,'3','-6','1','2','2','2','1',1,'1','-9','-9','-9','-9','-9'
'188190740141','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','-9'
'188196630149','-9',3,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'188196880140','-9',2,'2','-6','2','1','-6','1','2',1,'1','-9','-9','-9','-9','-9'
'188206330133','-9',5,'-9','-6','-9','-9','-6','1','1',-9,'1','1','1','1','1','-9'
'188207780147','-9',5,'3','-6','1','2','1','3','1',1,'1','-9','-9','-9','-9','-9'
'188207780147','-9',5,'3','-6','1','2','1','3','1',2,'2','-9','-9','-9','-9','-9'
'188216170143','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'188218190140','-9',3,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188218190249','-9',5,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'188223330147','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'188223330147','1',-6,'-6','-6','-6','-6','-6','-6','-6',2,'2','-9','-9','-9','1','1'
'188231750142','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188231750142','-9',1,'3','-6','1','1','-6','2','2',2,'2','-9','-9','-9','-9','1'
'188231910142','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'188243640149','-9',3,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'188245700144','-9',2,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188245960144','-9',5,'1','1','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188246780146','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'188260580142','-9',4,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'188261130144','-9',5,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188261390144','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'188261910149','-9',1,'2','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'188269180143','-9',5,'4','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'188273190140','-9',3,'3','-6','1','2','2','2','1',1,'1','-9','-9','-9','-9','-9'
'188276770148','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188281750248','-9',2,'2','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'188282560141','-9',4,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'188284160249','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'188289510147','-9',5,'3','-6','3','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'188291940149','-9',4,'3','-6','1','2','2','3','1',1,'1','-9','-9','-9','-9','-9'
'188294180146','-9',2,'2','-6','1','1','-6','1','2',1,'1','-9','-9','-9','-9','-9'
'188300100145','-9',2,'3','-6','2','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'188300100145','-9',2,'3','-6','1','2','2','1','1',2,'2','-9','-9','-9','-9','-9'
'188300510145','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188302300149','-9',4,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'188303320149','-9',3,'3','-6','1','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'188303530145','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188303720140','-9',2,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188306880140','-9',9,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'188313930240','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'188319140149','-9',4,'3','-6','2','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'188325940142','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'188333330141','-9',1,'4','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'188333580141','-9',3,'3','-6','3','2','1','2','2',1,'1','-9','-9','-9','-9','-9'
'188336130123','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'188336530133','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'188336530133','-9',4,'3','-6','1','2','1','1','1',2,'2','-9','-9','-9','-9','-9'
'188336630133','-9',3,'3','-6','3','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'188339740141','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'188356600148','-9',5,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','1','-9'
'188365000149','-9',4,'3','-6','2','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'188374990142','-9',1,'3','-6','1','1','-6','1','3',1,'1','-9','-9','-9','-9','1'
'188376160448','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188380580149','-9',1,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'188380730140','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188387990147','-9',3,'3','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'188389900149','-9',2,'3','-6','1','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
'188404170143','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188407770144','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'188412510141','-9',2,'4','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
